"Plot Title: RG_2412691"
"#","Date","Time, GMT-08:00","Ext. Line Event, units (LGR S/N: 2412691, SEN S/N: 2412691)","daily_events, # (LGR S/N: 2412691, SEN S/N: 2412691)","hourly_events, # (LGR S/N: 2412691, SEN S/N: 2412691)"
1,04/22/2010,00:00:00,,1,
2,04/22/2010,08:00:00,,,1
3,04/22/2010,08:55:01,0.00,,
4,04/22/2010,09:00:00,,,0
5,04/22/2010,10:00:00,,,0
6,04/22/2010,11:00:00,,,0
7,04/22/2010,12:00:00,,,0
8,04/22/2010,13:00:00,,,0
9,04/22/2010,14:00:00,,,0
10,04/22/2010,15:00:00,,,0
11,04/22/2010,16:00:00,,,0
12,04/22/2010,17:00:00,,,0
13,04/22/2010,18:00:00,,,0
14,04/22/2010,19:00:00,,,0
15,04/22/2010,20:00:00,,,0
16,04/22/2010,21:00:00,,,0
17,04/22/2010,22:00:00,,,0
18,04/22/2010,23:00:00,,,0
19,04/23/2010,00:00:00,,0,0
20,04/23/2010,01:00:00,,,0
21,04/23/2010,02:00:00,,,0
22,04/23/2010,03:00:00,,,0
23,04/23/2010,04:00:00,,,0
24,04/23/2010,05:00:00,,,0
25,04/23/2010,06:00:00,,,0
26,04/23/2010,07:00:00,,,0
27,04/23/2010,08:00:00,,,0
28,04/23/2010,09:00:00,,,0
29,04/23/2010,10:00:00,,,0
30,04/23/2010,11:00:00,,,0
31,04/23/2010,12:00:00,,,0
32,04/23/2010,13:00:00,,,0
33,04/23/2010,14:00:00,,,0
34,04/23/2010,15:00:00,,,0
35,04/23/2010,16:00:00,,,0
36,04/23/2010,17:00:00,,,0
37,04/23/2010,18:00:00,,,0
38,04/23/2010,19:00:00,,,0
39,04/23/2010,20:00:00,,,0
40,04/23/2010,21:00:00,,,0
41,04/23/2010,22:00:00,,,0
42,04/23/2010,23:00:00,,,0
43,04/24/2010,00:00:00,,0,0
44,04/24/2010,01:00:00,,,0
45,04/24/2010,02:00:00,,,0
46,04/24/2010,03:00:00,,,0
47,04/24/2010,04:00:00,,,0
48,04/24/2010,05:00:00,,,0
49,04/24/2010,06:00:00,,,0
50,04/24/2010,07:00:00,,,0
51,04/24/2010,08:00:00,,,0
52,04/24/2010,09:00:00,,,0
53,04/24/2010,10:00:00,,,0
54,04/24/2010,11:00:00,,,0
55,04/24/2010,12:00:00,,,0
56,04/24/2010,13:00:00,,,0
57,04/24/2010,14:00:00,,,0
58,04/24/2010,15:00:00,,,0
59,04/24/2010,16:00:00,,,0
60,04/24/2010,17:00:00,,,0
61,04/24/2010,18:00:00,,,0
62,04/24/2010,19:00:00,,,0
63,04/24/2010,20:00:00,,,0
64,04/24/2010,21:00:00,,,0
65,04/24/2010,22:00:00,,,0
66,04/24/2010,23:00:00,,,0
67,04/25/2010,00:00:00,,0,0
68,04/25/2010,01:00:00,,,0
69,04/25/2010,02:00:00,,,0
70,04/25/2010,03:00:00,,,0
71,04/25/2010,04:00:00,,,0
72,04/25/2010,05:00:00,,,0
73,04/25/2010,06:00:00,,,0
74,04/25/2010,07:00:00,,,0
75,04/25/2010,08:00:00,,,0
76,04/25/2010,09:00:00,,,0
77,04/25/2010,10:00:00,,,0
78,04/25/2010,11:00:00,,,0
79,04/25/2010,12:00:00,,,0
80,04/25/2010,13:00:00,,,0
81,04/25/2010,14:00:00,,,0
82,04/25/2010,15:00:00,,,0
83,04/25/2010,16:00:00,,,0
84,04/25/2010,17:00:00,,,0
85,04/25/2010,18:00:00,,,0
86,04/25/2010,19:00:00,,,0
87,04/25/2010,20:00:00,,,0
88,04/25/2010,21:00:00,,,0
89,04/25/2010,22:00:00,,,0
90,04/25/2010,23:00:00,,,0
91,04/26/2010,00:00:00,,0,0
92,04/26/2010,01:00:00,,,0
93,04/26/2010,02:00:00,,,0
