#,date,daily_events,in,mm
1,4/6/2006,1,0.01,0.2
2,4/7/2006,36,0.36,7.2
3,4/8/2006,7,0.07,1.4
4,4/9/2006,16,0.16,3.2
5,4/10/2006,10,0.1,2
6,4/11/2006,165,1.65,33
7,4/12/2006,42,0.42,8.4
8,4/13/2006,0,0,0
9,4/14/2006,2,0.02,0.4
10,4/15/2006,33,0.33,6.6
11,4/16/2006,72,0.72,14.4
12,4/17/2006,1,0.01,0.2
13,4/18/2006,0,0,0
14,4/19/2006,0,0,0
15,4/20/2006,0,0,0
16,4/21/2006,0,0,0
17,4/22/2006,0,0,0
18,4/23/2006,0,0,0
19,4/24/2006,1,0.01,0.2
20,4/25/2006,0,0,0
21,4/26/2006,0,0,0
22,4/27/2006,0,0,0
23,4/28/2006,0,0,0
24,4/29/2006,0,0,0
25,4/30/2006,0,0,0
26,5/1/2006,0,0,0
27,5/2/2006,0,0,0
28,5/3/2006,0,0,0
29,5/4/2006,0,0,0
30,5/5/2006,0,0,0
31,5/6/2006,0,0,0
32,5/7/2006,0,0,0
33,5/8/2006,0,0,0
34,5/9/2006,0,0,0
35,5/10/2006,0,0,0
36,5/11/2006,0,0,0
37,5/12/2006,0,0,0
38,5/13/2006,0,0,0
39,5/14/2006,0,0,0
40,5/15/2006,0,0,0
41,5/16/2006,0,0,0
42,5/17/2006,0,0,0
43,5/18/2006,0,0,0
44,5/19/2006,26,0.26,5.2
45,5/20/2006,0,0,0
46,5/21/2006,41,0.41,8.2
47,5/22/2006,1,0.01,0.2
48,5/23/2006,1,0.01,0.2
49,5/24/2006,13,0.13,2.6
50,5/25/2006,0,0,0
51,5/26/2006,0,0,0
52,5/27/2006,0,0,0
53,5/28/2006,0,0,0
54,5/29/2006,0,0,0
55,5/30/2006,0,0,0
56,5/31/2006,0,0,0
57,6/1/2006,0,0,0
58,6/2/2006,0,0,0
59,6/3/2006,0,0,0
60,6/4/2006,0,0,0
61,6/5/2006,0,0,0
62,6/6/2006,0,0,0
63,6/7/2006,0,0,0
64,6/8/2006,0,0,0
65,6/9/2006,0,0,0
66,6/10/2006,0,0,0
67,6/11/2006,0,0,0
68,6/12/2006,1,0.01,0.2
69,6/13/2006,0,0,0
70,6/14/2006,1,0.01,0.2
71,6/15/2006,0,0,0
72,6/16/2006,0,0,0
73,6/17/2006,0,0,0
74,6/18/2006,0,0,0
75,6/19/2006,0,0,0
76,6/20/2006,0,0,0
77,6/21/2006,0,0,0
78,6/22/2006,0,0,0
79,6/23/2006,0,0,0
80,6/24/2006,0,0,0
81,6/25/2006,0,0,0
82,6/26/2006,0,0,0
83,6/27/2006,0,0,0
84,6/28/2006,0,0,0
85,6/29/2006,0,0,0
86,6/30/2006,0,0,0
87,7/1/2006,0,0,0
88,7/2/2006,0,0,0
89,7/3/2006,0,0,0
90,7/4/2006,0,0,0
91,7/5/2006,0,0,0
92,7/6/2006,0,0,0
93,7/7/2006,0,0,0
94,7/8/2006,0,0,0
95,7/9/2006,0,0,0
96,7/10/2006,0,0,0
97,7/11/2006,0,0,0
98,7/12/2006,0,0,0
99,7/13/2006,0,0,0
100,7/14/2006,0,0,0
101,7/15/2006,0,0,0
102,7/16/2006,0,0,0
103,7/17/2006,0,0,0
104,7/18/2006,0,0,0
105,7/19/2006,0,0,0
106,7/20/2006,0,0,0
107,7/21/2006,0,0,0
108,7/22/2006,0,0,0
109,7/23/2006,0,0,0
110,7/24/2006,0,0,0
111,7/25/2006,0,0,0
112,7/26/2006,0,0,0
113,7/27/2006,0,0,0
114,7/28/2006,0,0,0
115,7/29/2006,0,0,0
116,7/30/2006,0,0,0
117,7/31/2006,0,0,0
118,8/1/2006,0,0,0
119,8/2/2006,0,0,0
120,8/3/2006,0,0,0
121,8/4/2006,0,0,0
122,8/5/2006,0,0,0
123,8/6/2006,0,0,0
124,8/7/2006,0,0,0
125,8/8/2006,0,0,0
126,8/9/2006,0,0,0
127,8/10/2006,0,0,0
128,8/11/2006,0,0,0
129,8/12/2006,0,0,0
130,8/13/2006,0,0,0
131,8/14/2006,0,0,0
132,8/15/2006,0,0,0
133,8/16/2006,0,0,0
134,8/17/2006,0,0,0
135,8/18/2006,0,0,0
136,8/19/2006,0,0,0
137,8/20/2006,0,0,0
138,8/21/2006,0,0,0
139,8/22/2006,0,0,0
140,8/23/2006,0,0,0
141,8/24/2006,0,0,0
142,8/25/2006,0,0,0
143,8/26/2006,0,0,0
144,8/27/2006,0,0,0
145,8/28/2006,0,0,0
146,8/29/2006,0,0,0
147,8/30/2006,0,0,0
148,8/31/2006,0,0,0
149,9/1/2006,0,0,0
150,9/2/2006,0,0,0
151,9/3/2006,0,0,0
152,9/4/2006,0,0,0
153,9/5/2006,0,0,0
154,9/6/2006,0,0,0
155,9/7/2006,0,0,0
156,9/8/2006,0,0,0
157,9/9/2006,0,0,0
158,9/10/2006,0,0,0
159,9/11/2006,0,0,0
160,9/12/2006,0,0,0
161,9/13/2006,0,0,0
162,9/14/2006,0,0,0
163,9/15/2006,0,0,0
164,9/16/2006,0,0,0
165,9/17/2006,0,0,0
166,9/18/2006,0,0,0
167,9/19/2006,0,0,0
168,9/20/2006,0,0,0
169,9/21/2006,0,0,0
170,9/22/2006,0,0,0
171,9/23/2006,0,0,0
172,9/24/2006,0,0,0
173,9/25/2006,0,0,0
174,9/26/2006,0,0,0
175,9/27/2006,0,0,0
176,9/28/2006,0,0,0
177,9/29/2006,0,0,0
178,9/30/2006,0,0,0
179,10/1/2006,0,0,0
180,10/2/2006,0,0,0
181,10/3/2006,0,0,0
182,10/4/2006,24,0.24,4.8
183,10/5/2006,36,0.36,7.2
184,10/6/2006,0,0,0
185,10/7/2006,0,0,0
186,10/8/2006,0,0,0
187,10/9/2006,0,0,0
188,10/10/2006,0,0,0
189,10/11/2006,0,0,0
190,10/12/2006,0,0,0
191,10/13/2006,0,0,0
192,10/14/2006,0,0,0
193,10/15/2006,0,0,0
194,10/16/2006,7,0.07,1.4
195,10/17/2006,0,0,0
196,10/18/2006,0,0,0
197,10/19/2006,0,0,0
198,10/20/2006,0,0,0
199,10/21/2006,0,0,0
200,10/22/2006,0,0,0
201,10/23/2006,0,0,0
202,10/24/2006,0,0,0
203,10/25/2006,0,0,0
204,10/26/2006,0,0,0
205,10/27/2006,0,0,0
206,10/28/2006,0,0,0
207,10/29/2006,0,0,0
208,10/30/2006,0,0,0
209,10/31/2006,0,0,0
210,11/1/2006,3,0.03,0.6
211,11/2/2006,109,1.09,21.8
212,11/3/2006,1,0.01,0.2
213,11/4/2006,0,0,0
214,11/5/2006,0,0,0
215,11/6/2006,0,0,0
216,11/7/2006,0,0,0
217,11/8/2006,4,0.04,0.8
218,11/9/2006,0,0,0
219,11/10/2006,0,0,0
220,11/11/2006,48,0.48,9.6
221,11/12/2006,4,0.04,0.8
222,11/13/2006,97,0.97,19.4
223,11/14/2006,1,0.01,0.2
