#,date,daily_events,in,mm
1,5/13/2005,1,0.01,0.2
2,5/14/2005,0,0,0
3,5/15/2005,2,0.02,0.4
4,5/16/2005,0,0,0
5,5/17/2005,11,0.11,2.2
6,5/18/2005,367,3.67,73.4
7,5/19/2005,1,0.01,0.2
8,5/20/2005,0,0,0
9,5/21/2005,0,0,0
10,5/22/2005,0,0,0
11,5/23/2005,0,0,0
12,5/24/2005,2,0.02,0.4
13,5/25/2005,0,0,0
14,5/26/2005,0,0,0
15,5/27/2005,0,0,0
16,5/28/2005,9,0.09,1.8
17,5/29/2005,0,0,0
18,5/30/2005,0,0,0
19,5/31/2005,0,0,0
20,6/1/2005,0,0,0
21,6/2/2005,0,0,0
22,6/3/2005,0,0,0
23,6/4/2005,0,0,0
24,6/5/2005,0,0,0
25,6/6/2005,0,0,0
26,6/7/2005,0,0,0
27,6/8/2005,9,0.09,1.8
28,6/9/2005,1,0.01,0.2
29,6/10/2005,0,0,0
30,6/11/2005,0,0,0
31,6/12/2005,0,0,0
32,6/13/2005,0,0,0
33,6/14/2005,0,0,0
34,6/15/2005,0,0,0
35,6/16/2005,6,0.06,1.2
36,6/17/2005,6,0.06,1.2
37,6/18/2005,1,0.01,0.2
38,6/19/2005,0,0,0
39,6/20/2005,0,0,0
40,6/21/2005,0,0,0
41,6/22/2005,0,0,0
42,6/23/2005,0,0,0
43,6/24/2005,0,0,0
44,6/25/2005,0,0,0
45,6/26/2005,0,0,0
46,6/27/2005,0,0,0
47,6/28/2005,0,0,0
48,6/29/2005,0,0,0
49,6/30/2005,0,0,0
50,7/1/2005,0,0,0
51,7/2/2005,0,0,0
52,7/3/2005,0,0,0
53,7/4/2005,0,0,0
54,7/5/2005,0,0,0
55,7/6/2005,0,0,0
56,7/7/2005,0,0,0
57,7/8/2005,0,0,0
58,7/9/2005,0,0,0
59,7/10/2005,0,0,0
60,7/11/2005,0,0,0
61,7/12/2005,0,0,0
62,7/13/2005,0,0,0
63,7/14/2005,0,0,0
64,7/15/2005,0,0,0
65,7/16/2005,0,0,0
66,7/17/2005,0,0,0
67,7/18/2005,0,0,0
68,7/19/2005,0,0,0
69,7/20/2005,0,0,0
70,7/21/2005,0,0,0
71,7/22/2005,0,0,0
72,7/23/2005,0,0,0
73,7/24/2005,0,0,0
74,7/25/2005,0,0,0
75,7/26/2005,0,0,0
76,7/27/2005,0,0,0
77,7/28/2005,0,0,0
78,7/29/2005,0,0,0
79,7/30/2005,0,0,0
80,7/31/2005,0,0,0
81,8/1/2005,0,0,0
82,8/2/2005,0,0,0
83,8/3/2005,0,0,0
84,8/4/2005,0,0,0
85,8/5/2005,0,0,0
86,8/6/2005,0,0,0
87,8/7/2005,0,0,0
88,8/8/2005,0,0,0
89,8/9/2005,0,0,0
90,8/10/2005,0,0,0
91,8/11/2005,0,0,0
92,8/12/2005,0,0,0
93,8/13/2005,0,0,0
94,8/14/2005,0,0,0
95,8/15/2005,0,0,0
96,8/16/2005,0,0,0
97,8/17/2005,0,0,0
98,8/18/2005,0,0,0
99,8/19/2005,0,0,0
100,8/20/2005,0,0,0
101,8/21/2005,0,0,0
102,8/22/2005,0,0,0
103,8/23/2005,0,0,0
104,8/24/2005,0,0,0
105,8/25/2005,0,0,0
106,8/26/2005,0,0,0
107,8/27/2005,0,0,0
108,8/28/2005,0,0,0
109,8/29/2005,0,0,0
110,8/30/2005,0,0,0
111,8/31/2005,0,0,0
112,9/1/2005,0,0,0
113,9/2/2005,0,0,0
114,9/3/2005,0,0,0
115,9/4/2005,0,0,0
116,9/5/2005,0,0,0
117,9/6/2005,0,0,0
118,9/7/2005,0,0,0
119,9/8/2005,0,0,0
120,9/9/2005,0,0,0
121,9/10/2005,0,0,0
122,9/11/2005,0,0,0
123,9/12/2005,0,0,0
124,9/13/2005,0,0,0
125,9/14/2005,0,0,0
126,9/15/2005,0,0,0
127,9/16/2005,0,0,0
128,9/17/2005,0,0,0
129,9/18/2005,0,0,0
130,9/19/2005,0,0,0
131,9/20/2005,0,0,0
132,9/21/2005,0,0,0
133,9/22/2005,0,0,0
134,9/23/2005,0,0,0
135,9/24/2005,0,0,0
136,9/25/2005,0,0,0
137,9/26/2005,0,0,0
138,9/27/2005,0,0,0
139,9/28/2005,0,0,0
140,9/29/2005,0,0,0
141,9/30/2005,0,0,0
142,10/1/2005,0,0,0
143,10/2/2005,0,0,0
144,10/3/2005,0,0,0
145,10/4/2005,0,0,0
146,10/5/2005,0,0,0
147,10/6/2005,0,0,0
148,10/7/2005,0,0,0
149,10/8/2005,0,0,0
150,10/9/2005,0,0,0
151,10/10/2005,0,0,0
152,10/11/2005,0,0,0
153,10/12/2005,0,0,0
154,10/13/2005,0,0,0
155,10/14/2005,0,0,0
156,10/15/2005,1,0.01,0.2
157,10/16/2005,0,0,0
158,10/17/2005,0,0,0
159,10/18/2005,0,0,0
160,10/19/2005,0,0,0
161,10/20/2005,0,0,0
162,10/21/2005,0,0,0
163,10/22/2005,0,0,0
164,10/23/2005,0,0,0
165,10/24/2005,0,0,0
166,10/25/2005,0,0,0
167,10/26/2005,7,0.07,1.4
