#,date,daily_events,in,mm
1,10/12/2009,1,0.01,0.2
2,10/13/2009,0,0,0
3,10/14/2009,0,0,0
4,10/15/2009,0,0,0
5,10/16/2009,0,0,0
6,10/17/2009,0,0,0
7,10/18/2009,0,0,0
8,10/19/2009,0,0,0
9,10/20/2009,0,0,0
10,10/21/2009,0,0,0
11,10/22/2009,0,0,0
12,10/23/2009,0,0,0
13,10/24/2009,0,0,0
14,10/25/2009,0,0,0
15,10/26/2009,0,0,0
16,10/27/2009,0,0,0
17,10/28/2009,0,0,0
18,10/29/2009,0,0,0
19,10/30/2009,0,0,0
20,10/31/2009,0,0,0
21,11/1/2009,0,0,0
22,11/2/2009,0,0,0
23,11/3/2009,0,0,0
24,11/4/2009,0,0,0
25,11/5/2009,0,0,0
26,11/6/2009,0,0,0
27,11/7/2009,0,0,0
28,11/8/2009,0,0,0
29,11/9/2009,0,0,0
30,11/10/2009,0,0,0
31,11/11/2009,0,0,0
32,11/12/2009,0,0,0
33,11/13/2009,0,0,0
34,11/14/2009,0,0,0
35,11/15/2009,0,0,0
36,11/16/2009,0,0,0
37,11/17/2009,0,0,0
38,11/18/2009,0,0,0
39,11/19/2009,0,0,0
40,11/20/2009,0,0,0
41,11/21/2009,0,0,0
42,11/22/2009,0,0,0
43,11/23/2009,0,0,0
44,11/24/2009,0,0,0
45,11/25/2009,0,0,0
46,11/26/2009,0,0,0
47,11/27/2009,0,0,0
48,11/28/2009,0,0,0
49,11/29/2009,0,0,0
50,11/30/2009,0,0,0
51,12/1/2009,0,0,0
52,12/2/2009,0,0,0
53,12/3/2009,0,0,0
54,12/4/2009,0,0,0
55,12/5/2009,0,0,0
56,12/6/2009,0,0,0
57,12/7/2009,0,0,0
58,12/8/2009,0,0,0
59,12/9/2009,0,0,0
60,12/10/2009,0,0,0
61,12/11/2009,0,0,0
62,12/12/2009,0,0,0
63,12/13/2009,0,0,0
64,12/14/2009,0,0,0
65,12/15/2009,0,0,0
66,12/16/2009,0,0,0
67,12/17/2009,0,0,0
68,12/18/2009,0,0,0
69,12/19/2009,0,0,0
70,12/20/2009,0,0,0
71,12/21/2009,0,0,0
72,12/22/2009,0,0,0
73,12/23/2009,0,0,0
74,12/24/2009,0,0,0
75,12/25/2009,0,0,0
76,12/26/2009,0,0,0
77,12/27/2009,0,0,0
78,12/28/2009,0,0,0
79,12/29/2009,0,0,0
80,12/30/2009,0,0,0
81,12/31/2009,0,0,0
82,1/1/2010,0,0,0
83,1/2/2010,0,0,0
84,1/3/2010,0,0,0
85,1/4/2010,0,0,0
86,1/5/2010,0,0,0
87,1/6/2010,0,0,0
88,1/7/2010,0,0,0
89,1/8/2010,0,0,0
90,1/9/2010,0,0,0
91,1/10/2010,0,0,0
92,1/11/2010,0,0,0
93,1/12/2010,0,0,0
94,1/13/2010,0,0,0
95,1/14/2010,0,0,0
96,1/15/2010,0,0,0
97,1/16/2010,0,0,0
98,1/17/2010,0,0,0
99,1/18/2010,0,0,0
100,1/19/2010,0,0,0
101,1/20/2010,0,0,0
102,1/21/2010,0,0,0
103,1/22/2010,0,0,0
104,1/23/2010,0,0,0
105,1/24/2010,0,0,0
106,1/25/2010,0,0,0
107,1/26/2010,0,0,0
108,1/27/2010,0,0,0
109,1/28/2010,0,0,0
110,1/29/2010,0,0,0
111,1/30/2010,0,0,0
112,1/31/2010,0,0,0
113,2/1/2010,0,0,0
114,2/2/2010,0,0,0
115,2/3/2010,0,0,0
116,2/4/2010,0,0,0
117,2/5/2010,0,0,0
118,2/6/2010,0,0,0
119,2/7/2010,0,0,0
120,2/8/2010,0,0,0
121,2/9/2010,0,0,0
122,2/10/2010,0,0,0
123,2/11/2010,0,0,0
