#,date,daily_events,in,mm
1,4/18/2007,1,0.01,0.2
2,4/19/2007,22,0.22,4.4
3,4/20/2007,14,0.14,2.8
4,4/21/2007,53,0.53,10.6
5,4/22/2007,62,0.62,12.4
6,4/23/2007,0,0,0
7,4/24/2007,0,0,0
8,4/25/2007,0,0,0
9,4/26/2007,0,0,0
10,4/27/2007,0,0,0
11,4/28/2007,0,0,0
12,4/29/2007,0,0,0
13,4/30/2007,0,0,0
14,5/1/2007,0,0,0
15,5/2/2007,15,0.15,3
16,5/3/2007,12,0.12,2.4
17,5/4/2007,20,0.2,4
18,5/5/2007,0,0,0
19,5/6/2007,0,0,0
20,5/7/2007,0,0,0
21,5/8/2007,0,0,0
22,5/9/2007,0,0,0
23,5/10/2007,0,0,0
24,5/11/2007,0,0,0
25,5/12/2007,0,0,0
26,5/13/2007,0,0,0
27,5/14/2007,0,0,0
28,5/15/2007,0,0,0
29,5/16/2007,0,0,0
30,5/17/2007,0,0,0
31,5/18/2007,0,0,0
32,5/19/2007,0,0,0
33,5/20/2007,0,0,0
34,5/21/2007,0,0,0
35,5/22/2007,0,0,0
36,5/23/2007,0,0,0
37,5/24/2007,0,0,0
38,5/25/2007,0,0,0
39,5/26/2007,0,0,0
40,5/27/2007,0,0,0
41,5/28/2007,0,0,0
42,5/29/2007,0,0,0
43,5/30/2007,0,0,0
44,5/31/2007,0,0,0
45,6/1/2007,0,0,0
46,6/2/2007,0,0,0
47,6/3/2007,0,0,0
48,6/4/2007,0,0,0
49,6/5/2007,0,0,0
50,6/6/2007,0,0,0
51,6/7/2007,0,0,0
52,6/8/2007,0,0,0
53,6/9/2007,0,0,0
54,6/10/2007,0,0,0
55,6/11/2007,0,0,0
56,6/12/2007,0,0,0
57,6/13/2007,0,0,0
58,6/14/2007,0,0,0
59,6/15/2007,0,0,0
60,6/16/2007,0,0,0
61,6/17/2007,0,0,0
62,6/18/2007,0,0,0
63,6/19/2007,0,0,0
64,6/20/2007,0,0,0
65,6/21/2007,0,0,0
66,6/22/2007,0,0,0
67,6/23/2007,0,0,0
68,6/24/2007,0,0,0
69,6/25/2007,0,0,0
70,6/26/2007,0,0,0
71,6/27/2007,0,0,0
72,6/28/2007,0,0,0
73,6/29/2007,0,0,0
74,6/30/2007,0,0,0
75,7/1/2007,0,0,0
76,7/2/2007,0,0,0
77,7/3/2007,0,0,0
78,7/4/2007,0,0,0
79,7/5/2007,0,0,0
80,7/6/2007,0,0,0
81,7/7/2007,0,0,0
