"","id","year","month","day","hour","hourly_events","hourly_ppt"
"1","yahng",2008,4,25,13,1,0.01
"2","yahng",2008,5,7,10,1,0.01
"3","yahng",2008,5,24,8,2,0.02
"4","yahng",2008,5,24,9,8,0.08
"5","yahng",2008,5,24,10,3,0.03
"6","yahng",2008,5,24,11,2,0.02
"7","yahng",2008,5,24,12,1,0.01
"8","yahng",2008,5,24,15,1,0.01
"9","yahng",2008,6,27,11,1,0.01
"10","yahng",2008,7,22,17,1,0.01
"11","yahng",2008,8,18,7,1,0.01
"12","yahng",2008,8,27,6,1,0.01
"13","yahng",2008,9,9,5,1,0.01
"14","yahng",2008,9,9,7,1,0.01
"15","yahng",2008,9,19,16,1,0.01
"16","yahng",2008,9,19,17,1,0.01
"17","yahng",2008,9,19,19,1,0.01
"18","yahng",2008,9,19,21,1,0.01
"19","yahng",2008,9,19,22,1,0.01
"20","yahng",2008,9,20,1,1,0.01
"21","yahng",2008,9,20,19,1,0.01
"22","yahng",2008,10,3,19,3,0.03
"23","yahng",2008,10,3,20,1,0.01
"24","yahng",2008,10,3,21,7,0.07
"25","yahng",2008,10,3,22,5,0.05
"26","yahng",2008,10,3,23,11,0.11
"27","yahng",2008,10,4,0,4,0.04
"28","yahng",2008,10,4,1,1,0.01
"29","yahng",2008,10,4,3,1,0.01
"30","yahng",2008,10,4,12,1,0.01
"31","yahng",2008,10,31,1,1,0.01
"32","yahng",2008,10,31,3,2,0.02
"33","yahng",2008,10,31,4,4,0.04
"34","yahng",2008,10,31,5,3,0.03
"35","yahng",2008,10,31,6,3,0.03
"36","yahng",2008,10,31,7,3,0.03
"37","yahng",2008,10,31,8,2,0.02
"38","yahng",2008,10,31,9,1,0.01
"39","yahng",2008,10,31,10,1,0.01
"40","yahng",2008,10,31,11,1,0.01
"41","yahng",2008,10,31,15,1,0.01
"42","yahng",2008,10,31,17,1,0.01
"43","yahng",2008,11,1,1,1,0.01
"44","yahng",2008,11,1,4,1,0.01
"45","yahng",2008,11,1,9,1,0.01
"46","yahng",2008,11,1,12,1,0.01
"47","yahng",2008,11,1,17,1,0.01
"48","yahng",2008,11,1,20,1,0.01
"49","yahng",2008,11,2,1,1,0.01
"50","yahng",2008,11,2,7,1,0.01
"51","yahng",2008,11,2,17,1,0.01
"52","yahng",2008,11,3,3,1,0.01
"53","yahng",2008,11,3,19,1,0.01
"54","yahng",2008,11,4,7,1,0.01
"55","yahng",2008,11,5,7,1,0.01
"56","yahng",2008,11,5,21,1,0.01
"57","yahng",2008,11,6,23,1,0.01
"58","yahng",2008,11,7,19,1,0.01
"59","yahng",2008,11,9,7,1,0.01
"60","yahng",2008,11,10,19,1,0.01
"61","yahng",2008,11,12,23,1,0.01
"62","yahng",2008,11,17,13,1,0.01
"63","yahng",2008,11,25,8,1,0.01
"64","yahng",2008,11,30,17,1,0.01
"65","yahng",2008,12,15,23,1,0.01
"66","yahng",2008,12,16,2,1,0.01
"67","yahng",2008,12,16,3,3,0.03
"68","yahng",2008,12,16,4,2,0.02
"69","yahng",2008,12,16,5,5,0.05
"70","yahng",2008,12,16,6,3,0.03
"71","yahng",2008,12,16,7,2,0.02
"72","yahng",2008,12,16,8,2,0.02
"73","yahng",2008,12,16,9,1,0.01
"74","yahng",2008,12,16,10,3,0.03
"75","yahng",2008,12,16,11,2,0.02
"76","yahng",2008,12,16,12,2,0.02
"77","yahng",2008,12,16,13,1,0.01
"78","yahng",2008,12,16,14,1,0.01
"79","yahng",2008,12,16,15,1,0.01
"80","yahng",2008,12,16,16,2,0.02
"81","yahng",2008,12,16,17,1,0.01
"82","yahng",2008,12,16,19,1,0.01
"83","yahng",2008,12,16,21,1,0.01
"84","yahng",2008,12,17,0,1,0.01
"85","yahng",2008,12,17,7,3,0.03
"86","yahng",2008,12,17,8,3,0.03
"87","yahng",2008,12,17,9,1,0.01
"88","yahng",2008,12,17,10,1,0.01
"89","yahng",2008,12,17,11,1,0.01
"90","yahng",2008,12,17,13,1,0.01
"91","yahng",2008,12,17,15,1,0.01
"92","yahng",2008,12,17,17,1,0.01
"93","yahng",2008,12,17,21,1,0.01
"94","yahng",2008,12,18,0,1,0.01
"95","yahng",2008,12,18,6,1,0.01
"96","yahng",2008,12,18,11,1,0.01
"97","yahng",2008,12,18,19,1,0.01
"98","yahng",2008,12,19,1,1,0.01
"99","yahng",2008,12,19,9,1,0.01
"100","yahng",2008,12,19,17,1,0.01
"101","yahng",2008,12,20,13,1,0.01
"102","yahng",2008,12,21,2,1,0.01
"103","yahng",2008,12,21,23,1,0.01
"104","yahng",2008,12,22,14,1,0.01
"105","yahng",2008,12,24,1,1,0.01
"106","yahng",2008,12,24,19,1,0.01
"107","yahng",2008,12,25,21,1,0.01
"108","yahng",2008,12,26,21,1,0.01
"109","yahng",2008,12,28,5,1,0.01
"110","yahng",2008,12,29,6,1,0.01
"111","yahng",2008,12,30,16,1,0.01
"112","yahng",2009,1,1,7,1,0.01
"113","yahng",2009,1,2,0,1,0.01
"114","yahng",2009,1,2,3,1,0.01
"115","yahng",2009,1,2,5,2,0.02
"116","yahng",2009,1,2,6,7,0.07
"117","yahng",2009,1,2,7,6,0.06
"118","yahng",2009,1,2,8,5,0.05
"119","yahng",2009,1,2,10,1,0.01
"120","yahng",2009,1,5,7,2,0.02
"121","yahng",2009,1,5,8,3,0.03
"122","yahng",2009,1,5,9,1,0.01
"123","yahng",2009,1,5,10,1,0.01
"124","yahng",2009,1,5,11,2,0.02
"125","yahng",2009,1,7,6,1,0.01
