#,date,daily_events,in,mm
1,1/27/2004,1,0.01,0.2
2,1/28/2004,0,0,0
3,1/29/2004,1,0.01,0.2
4,1/30/2004,9,0.09,1.8
5,1/31/2004,0,0,0
6,2/1/2004,9,0.09,1.8
7,2/2/2004,130,1.3,26
8,2/3/2004,14,0.14,2.8
9,2/4/2004,0,0,0
10,2/5/2004,0,0,0
11,2/6/2004,13,0.13,2.6
12,2/7/2004,1,0.01,0.2
13,2/8/2004,0,0,0
14,2/9/2004,0,0,0
15,2/10/2004,0,0,0
16,2/11/2004,0,0,0
17,2/12/2004,0,0,0
18,2/13/2004,10,0.1,2
19,2/14/2004,0,0,0
20,2/15/2004,2,0.02,0.4
21,2/16/2004,314,3.14,62.8
22,2/17/2004,210,2.1,42
23,2/18/2004,19,0.19,3.8
24,2/19/2004,0,0,0
25,2/20/2004,2,0.02,0.4
26,2/21/2004,2,0.02,0.4
27,2/22/2004,12,0.12,2.4
28,2/23/2004,0,0,0
29,2/24/2004,25,0.25,5
30,2/25/2004,212,2.12,42.4
31,2/26/2004,37,0.37,7.4
32,2/27/2004,3,0.03,0.6
33,2/28/2004,0,0,0
34,2/29/2004,1,0.01,0.2
35,3/1/2004,26,0.26,5.2
36,3/2/2004,0,0,0
37,3/3/2004,0,0,0
38,3/4/2004,0,0,0
39,3/5/2004,0,0,0
40,3/6/2004,0,0,0
41,3/7/2004,0,0,0
42,3/8/2004,0,0,0
43,3/9/2004,0,0,0
44,3/10/2004,0,0,0
45,3/11/2004,0,0,0
46,3/12/2004,0,0,0
47,3/13/2004,0,0,0
48,3/14/2004,0,0,0
49,3/15/2004,0,0,0
50,3/16/2004,0,0,0
51,3/17/2004,0,0,0
52,3/18/2004,0,0,0
53,3/19/2004,0,0,0
54,3/20/2004,0,0,0
55,3/21/2004,0,0,0
56,3/22/2004,0,0,0
57,3/23/2004,0,0,0
58,3/24/2004,0,0,0
59,3/25/2004,86,0.86,17.2
60,3/26/2004,4,0.04,0.8
61,3/27/2004,7,0.07,1.4
62,3/28/2004,0,0,0
63,3/29/2004,0,0,0
64,3/30/2004,0,0,0
65,3/31/2004,0,0,0
66,4/1/2004,0,0,0
67,4/2/2004,0,0,0
68,4/3/2004,0,0,0
69,4/4/2004,0,0,0
70,4/5/2004,0,0,0
71,4/6/2004,0,0,0
72,4/7/2004,0,0,0
73,4/8/2004,0,0,0
74,4/9/2004,0,0,0
75,4/10/2004,0,0,0
76,4/11/2004,0,0,0
77,4/12/2004,0,0,0
78,4/13/2004,0,0,0
79,4/14/2004,0,0,0
80,4/15/2004,0,0,0
81,4/16/2004,0,0,0
82,4/17/2004,0,0,0
83,4/18/2004,32,0.32,6.4
84,4/19/2004,49,0.49,9.8
