#,date,daily_events,in,mm
1,4/28/2010,1,0.01,0.2
2,4/29/2010,0,0,0
3,4/30/2010,0,0,0
4,5/1/2010,0,0,0
5,5/2/2010,0,0,0
6,5/3/2010,0,0,0
7,5/4/2010,0,0,0
8,5/5/2010,0,0,0
9,5/6/2010,0,0,0
10,5/7/2010,0,0,0
11,5/8/2010,0,0,0
12,5/9/2010,3,0.03,0.6
13,5/10/2010,17,0.17,3.4
14,5/11/2010,0,0,0
15,5/12/2010,0,0,0
16,5/13/2010,0,0,0
17,5/14/2010,0,0,0
18,5/15/2010,0,0,0
19,5/16/2010,0,0,0
20,5/17/2010,58,0.58,11.6
21,5/18/2010,12,0.12,2.4
22,5/19/2010,3,0.03,0.6
23,5/20/2010,0,0,0
24,5/21/2010,0,0,0
25,5/22/2010,0,0,0
26,5/23/2010,0,0,0
27,5/24/2010,0,0,0
28,5/25/2010,2,0.02,0.4
29,5/26/2010,0,0,0
30,5/27/2010,2,0.02,0.4
31,5/28/2010,0,0,0
32,5/29/2010,0,0,0
33,5/30/2010,0,0,0
34,5/31/2010,0,0,0
35,6/1/2010,0,0,0
36,6/2/2010,0,0,0
37,6/3/2010,1,0.01,0.2
38,6/4/2010,2,0.02,0.4
39,6/5/2010,1,0.01,0.2
40,6/6/2010,0,0,0
41,6/7/2010,0,0,0
42,6/8/2010,0,0,0
43,6/9/2010,4,0.04,0.8
44,6/10/2010,0,0,0
45,6/11/2010,0,0,0
46,6/12/2010,0,0,0
47,6/13/2010,0,0,0
48,6/14/2010,0,0,0
49,6/15/2010,0,0,0
50,6/16/2010,0,0,0
51,6/17/2010,0,0,0
52,6/18/2010,0,0,0
53,6/19/2010,0,0,0
54,6/20/2010,0,0,0
55,6/21/2010,0,0,0
56,6/22/2010,0,0,0
57,6/23/2010,0,0,0
58,6/24/2010,0,0,0
59,6/25/2010,0,0,0
60,6/26/2010,0,0,0
61,6/27/2010,0,0,0
62,6/28/2010,0,0,0
63,6/29/2010,0,0,0
64,6/30/2010,0,0,0
65,7/1/2010,0,0,0
66,7/2/2010,0,0,0
67,7/3/2010,0,0,0
68,7/4/2010,0,0,0
69,7/5/2010,0,0,0
70,7/6/2010,0,0,0
71,7/7/2010,0,0,0
72,7/8/2010,0,0,0
73,7/9/2010,0,0,0
74,7/10/2010,1,0.01,0.2
75,7/11/2010,0,0,0
76,7/12/2010,2,0.02,0.4
77,7/13/2010,0,0,0
78,7/14/2010,0,0,0
79,7/15/2010,0,0,0
80,7/16/2010,0,0,0
81,7/17/2010,0,0,0
82,7/18/2010,0,0,0
83,7/19/2010,0,0,0
84,7/20/2010,0,0,0
85,7/21/2010,0,0,0
86,7/22/2010,0,0,0
87,7/23/2010,0,0,0
88,7/24/2010,0,0,0
89,7/25/2010,0,0,0
90,7/26/2010,0,0,0
91,7/27/2010,1,0.01,0.2
92,7/28/2010,0,0,0
93,7/29/2010,1,0.01,0.2
