#,date,daily_events,in,mm
1,5/11/2010,1,0.01,0.2
2,5/12/2010,0,0,0
3,5/13/2010,0,0,0
4,5/14/2010,0,0,0
5,5/15/2010,0,0,0
6,5/16/2010,0,0,0
7,5/17/2010,47,0.47,9.4
8,5/18/2010,7,0.07,1.4
9,5/19/2010,12,0.12,2.4
10,5/20/2010,0,0,0
11,5/21/2010,0,0,0
12,5/22/2010,0,0,0
13,5/23/2010,0,0,0
14,5/24/2010,0,0,0
15,5/25/2010,56,0.56,11.2
16,5/26/2010,1,0.01,0.2
17,5/27/2010,80,0.8,16
18,5/28/2010,0,0,0
19,5/29/2010,0,0,0
20,5/30/2010,0,0,0
21,5/31/2010,0,0,0
22,6/1/2010,0,0,0
23,6/2/2010,0,0,0
24,6/3/2010,3,0.03,0.6
25,6/4/2010,4,0.04,0.8
26,6/5/2010,1,0.01,0.2
27,6/6/2010,0,0,0
28,6/7/2010,0,0,0
29,6/8/2010,0,0,0
30,6/9/2010,2,0.02,0.4
31,6/10/2010,0,0,0
32,6/11/2010,0,0,0
33,6/12/2010,0,0,0
34,6/13/2010,0,0,0
35,6/14/2010,0,0,0
36,6/15/2010,0,0,0
37,6/16/2010,0,0,0
38,6/17/2010,0,0,0
39,6/18/2010,0,0,0
40,6/19/2010,0,0,0
41,6/20/2010,0,0,0
42,6/21/2010,0,0,0
43,6/22/2010,0,0,0
44,6/23/2010,0,0,0
45,6/24/2010,0,0,0
46,6/25/2010,1,0.01,0.2
47,6/26/2010,0,0,0
48,6/27/2010,0,0,0
49,6/28/2010,0,0,0
50,6/29/2010,0,0,0
51,6/30/2010,0,0,0
52,7/1/2010,0,0,0
53,7/2/2010,0,0,0
54,7/3/2010,0,0,0
55,7/4/2010,0,0,0
56,7/5/2010,0,0,0
57,7/6/2010,0,0,0
58,7/7/2010,0,0,0
59,7/8/2010,0,0,0
60,7/9/2010,0,0,0
61,7/10/2010,0,0,0
62,7/11/2010,0,0,0
63,7/12/2010,0,0,0
64,7/13/2010,0,0,0
65,7/14/2010,0,0,0
66,7/15/2010,0,0,0
67,7/16/2010,0,0,0
68,7/17/2010,0,0,0
69,7/18/2010,0,0,0
70,7/19/2010,0,0,0
71,7/20/2010,0,0,0
72,7/21/2010,0,0,0
73,7/22/2010,0,0,0
74,7/23/2010,0,0,0
75,7/24/2010,0,0,0
76,7/25/2010,0,0,0
77,7/26/2010,0,0,0
78,7/27/2010,1,0.01,0.2
79,7/28/2010,0,0,0
80,7/29/2010,0,0,0
81,7/30/2010,0,0,0
82,7/31/2010,0,0,0
83,8/1/2010,0,0,0
84,8/2/2010,0,0,0
85,8/3/2010,0,0,0
86,8/4/2010,0,0,0
87,8/5/2010,1,0.01,0.2
88,8/6/2010,0,0,0
89,8/7/2010,0,0,0
90,8/8/2010,0,0,0
91,8/9/2010,0,0,0
92,8/10/2010,0,0,0
93,8/11/2010,0,0,0
94,8/12/2010,1,0.01,0.2
95,8/13/2010,0,0,0
96,8/14/2010,0,0,0
97,8/15/2010,2,0.02,0.4
98,8/16/2010,0,0,0
99,8/17/2010,0,0,0
100,8/18/2010,0,0,0
101,8/19/2010,0,0,0
102,8/20/2010,0,0,0
103,8/21/2010,1,0.01,0.2
104,8/22/2010,1,0.01,0.2
105,8/23/2010,0,0,0
106,8/24/2010,0,0,0
107,8/25/2010,0,0,0
108,8/26/2010,0,0,0
109,8/27/2010,0,0,0
110,8/28/2010,0,0,0
111,8/29/2010,0,0,0
112,8/30/2010,0,0,0
113,8/31/2010,0,0,0
114,9/1/2010,0,0,0
115,9/2/2010,0,0,0
116,9/3/2010,0,0,0
117,9/4/2010,0,0,0
118,9/5/2010,0,0,0
119,9/6/2010,0,0,0
120,9/7/2010,0,0,0
121,9/8/2010,0,0,0
122,9/9/2010,0,0,0
123,9/10/2010,0,0,0
124,9/11/2010,0,0,0
125,9/12/2010,0,0,0
126,9/13/2010,0,0,0
127,9/14/2010,0,0,0
128,9/15/2010,0,0,0
129,9/16/2010,0,0,0
130,9/17/2010,0,0,0
131,9/18/2010,0,0,0
132,9/19/2010,5,0.05,1
133,9/20/2010,0,0,0
134,9/21/2010,0,0,0
135,9/22/2010,0,0,0
136,9/23/2010,0,0,0
137,9/24/2010,0,0,0
138,9/25/2010,0,0,0
139,9/26/2010,0,0,0
140,9/27/2010,0,0,0
141,9/28/2010,0,0,0
142,9/29/2010,0,0,0
143,9/30/2010,0,0,0
144,10/1/2010,0,0,0
145,10/2/2010,0,0,0
146,10/3/2010,0,0,0
147,10/4/2010,0,0,0
148,10/5/2010,0,0,0
149,10/6/2010,0,0,0
150,10/7/2010,0,0,0
151,10/8/2010,0,0,0
152,10/9/2010,0,0,0
153,10/10/2010,0,0,0
154,10/11/2010,0,0,0
