#,date,daily_events,in,mm
1,5/29/2011,1,0.01,0.2
2,5/30/2011,0,0,0
3,5/31/2011,18,0.18,3.6
4,6/1/2011,5,0.05,1
5,6/2/2011,4,0.04,0.8
6,6/3/2011,0,0,0
7,6/4/2011,2,0.02,0.4
8,6/5/2011,1,0.01,0.2
9,6/6/2011,0,0,0
10,6/7/2011,1,0.01,0.2
11,6/8/2011,0,0,0
12,6/9/2011,1,0.01,0.2
13,6/10/2011,0,0,0
14,6/11/2011,1,0.01,0.2
15,6/12/2011,0,0,0
16,6/13/2011,0,0,0
17,6/14/2011,0,0,0
18,6/15/2011,0,0,0
19,6/16/2011,0,0,0
20,6/17/2011,0,0,0
21,6/18/2011,0,0,0
22,6/19/2011,0,0,0
23,6/20/2011,0,0,0
24,6/21/2011,0,0,0
25,6/22/2011,0,0,0
26,6/23/2011,0,0,0
27,6/24/2011,0,0,0
28,6/25/2011,0,0,0
29,6/26/2011,0,0,0
30,6/27/2011,0,0,0
31,6/28/2011,125,1.25,25
32,6/29/2011,0,0,0
33,6/30/2011,0,0,0
34,7/1/2011,0,0,0
35,7/2/2011,0,0,0
36,7/3/2011,0,0,0
37,7/4/2011,0,0,0
38,7/5/2011,0,0,0
39,7/6/2011,0,0,0
40,7/7/2011,0,0,0
41,7/8/2011,0,0,0
42,7/9/2011,0,0,0
43,7/10/2011,0,0,0
44,7/11/2011,0,0,0
45,7/12/2011,0,0,0
46,7/13/2011,0,0,0
47,7/14/2011,0,0,0
48,7/15/2011,0,0,0
49,7/16/2011,0,0,0
50,7/17/2011,0,0,0
51,7/18/2011,0,0,0
52,7/19/2011,0,0,0
53,7/20/2011,0,0,0
54,7/21/2011,0,0,0
55,7/22/2011,0,0,0
56,7/23/2011,0,0,0
57,7/24/2011,0,0,0
58,7/25/2011,0,0,0
59,7/26/2011,0,0,0
60,7/27/2011,0,0,0
61,7/28/2011,0,0,0
62,7/29/2011,0,0,0
63,7/30/2011,0,0,0
64,7/31/2011,2,0.02,0.4
65,8/1/2011,2,0.02,0.4
66,8/2/2011,0,0,0
67,8/3/2011,0,0,0
68,8/4/2011,0,0,0
69,8/5/2011,0,0,0
70,8/6/2011,0,0,0
71,8/7/2011,0,0,0
72,8/8/2011,0,0,0
73,8/9/2011,0,0,0
74,8/10/2011,0,0,0
75,8/11/2011,0,0,0
76,8/12/2011,0,0,0
77,8/13/2011,0,0,0
78,8/14/2011,0,0,0
79,8/15/2011,0,0,0
80,8/16/2011,0,0,0
81,8/17/2011,0,0,0
82,8/18/2011,0,0,0
83,8/19/2011,0,0,0
84,8/20/2011,0,0,0
85,8/21/2011,0,0,0
86,8/22/2011,1,0.01,0.2
87,8/23/2011,0,0,0
88,8/24/2011,0,0,0
89,8/25/2011,0,0,0
90,8/26/2011,0,0,0
91,8/27/2011,0,0,0
92,8/28/2011,0,0,0
93,8/29/2011,0,0,0
94,8/30/2011,0,0,0
95,8/31/2011,0,0,0
96,9/1/2011,0,0,0
97,9/2/2011,0,0,0
98,9/3/2011,0,0,0
99,9/4/2011,0,0,0
100,9/5/2011,0,0,0
101,9/6/2011,0,0,0
102,9/7/2011,0,0,0
103,9/8/2011,0,0,0
104,9/9/2011,0,0,0
105,9/10/2011,0,0,0
106,9/11/2011,0,0,0
107,9/12/2011,0,0,0
108,9/13/2011,0,0,0
109,9/14/2011,0,0,0
110,9/15/2011,0,0,0
111,9/16/2011,0,0,0
112,9/17/2011,0,0,0
113,9/18/2011,0,0,0
114,9/19/2011,0,0,0
115,9/20/2011,0,0,0
116,9/21/2011,0,0,0
117,9/22/2011,0,0,0
118,9/23/2011,0,0,0
119,9/24/2011,0,0,0
120,9/25/2011,5,0.05,1
121,9/26/2011,0,0,0
122,9/27/2011,0,0,0
123,9/28/2011,0,0,0
124,9/29/2011,0,0,0
125,9/30/2011,0,0,0
126,10/1/2011,0,0,0
127,10/2/2011,0,0,0
128,10/3/2011,37,0.37,7.4
129,10/4/2011,33,0.33,6.6
130,10/5/2011,23,0.23,4.6
131,10/6/2011,4,0.04,0.8
132,10/7/2011,1,0.01,0.2
133,10/8/2011,1,0.01,0.2
134,10/9/2011,0,0,0
135,10/10/2011,1,0.01,0.2
136,10/11/2011,1,0.01,0.2
137,10/12/2011,2,0.02,0.4
138,10/13/2011,2,0.02,0.4
139,10/14/2011,1,0.01,0.2
140,10/15/2011,0,0,0
141,10/16/2011,0,0,0
142,10/17/2011,1,0.01,0.2
143,10/18/2011,0,0,0
144,10/19/2011,1,0.01,0.2
145,10/20/2011,0,0,0
146,10/21/2011,0,0,0
147,10/22/2011,0,0,0
148,10/23/2011,0,0,0
149,10/24/2011,0,0,0
150,10/25/2011,0,0,0
151,10/26/2011,0,0,0
152,10/27/2011,0,0,0
153,10/28/2011,0,0,0
154,10/29/2011,0,0,0
155,10/30/2011,0,0,0
156,10/31/2011,0,0,0
157,11/1/2011,0,0,0
158,11/2/2011,0,0,0
159,11/3/2011,0,0,0
160,11/4/2011,0,0,0
161,11/5/2011,34,0.34,6.8
162,11/6/2011,24,0.24,4.8
163,11/7/2011,0,0,0
164,11/8/2011,0,0,0
165,11/9/2011,0,0,0
166,11/10/2011,0,0,0
167,11/11/2011,16,0.16,3.2
168,11/12/2011,4,0.04,0.8
169,11/13/2011,0,0,0
170,11/14/2011,0,0,0
171,11/15/2011,0,0,0
172,11/16/2011,0,0,0
173,11/17/2011,0,0,0
174,11/18/2011,10,0.1,2
175,11/19/2011,10,0.1,2
176,11/20/2011,32,0.32,6.4
177,11/21/2011,11,0.11,2.2
178,11/22/2011,0,0,0
179,11/23/2011,0,0,0
180,11/24/2011,2,0.02,0.4
181,11/25/2011,1,0.01,0.2
182,11/26/2011,2,0.02,0.4
183,11/27/2011,0,0,0
184,11/28/2011,1,0.01,0.2
185,11/29/2011,0,0,0
186,11/30/2011,1,0.01,0.2
187,12/1/2011,0,0,0
188,12/2/2011,0,0,0
189,12/3/2011,0,0,0
190,12/4/2011,0,0,0
191,12/5/2011,0,0,0
192,12/6/2011,0,0,0
193,12/7/2011,0,0,0
194,12/8/2011,0,0,0
195,12/9/2011,0,0,0
196,12/10/2011,0,0,0
197,12/11/2011,0,0,0
198,12/12/2011,2,0.02,0.4
199,12/13/2011,0,0,0
200,12/14/2011,0,0,0
201,12/15/2011,9,0.09,1.8
202,12/16/2011,0,0,0
203,12/17/2011,0,0,0
204,12/18/2011,0,0,0
205,12/19/2011,0,0,0
206,12/20/2011,0,0,0
207,12/21/2011,0,0,0
208,12/22/2011,0,0,0
209,12/23/2011,0,0,0
210,12/24/2011,0,0,0
211,12/25/2011,0,0,0
212,12/26/2011,0,0,0
213,12/27/2011,0,0,0
214,12/28/2011,0,0,0
215,12/29/2011,0,0,0
216,12/30/2011,7,0.07,1.4
217,12/31/2011,0,0,0
218,1/1/2012,0,0,0
219,1/2/2012,0,0,0
220,1/3/2012,0,0,0
221,1/4/2012,0,0,0
222,1/5/2012,0,0,0
223,1/6/2012,0,0,0
224,1/7/2012,0,0,0
225,1/8/2012,0,0,0
226,1/9/2012,0,0,0
227,1/10/2012,0,0,0
228,1/11/2012,0,0,0
229,1/12/2012,0,0,0
230,1/13/2012,0,0,0
231,1/14/2012,0,0,0
232,1/15/2012,0,0,0
233,1/16/2012,0,0,0
234,1/17/2012,0,0,0
235,1/18/2012,0,0,0
236,1/19/2012,50,0.5,10
237,1/20/2012,43,0.43,8.6
238,1/21/2012,15,0.15,3
239,1/22/2012,2,0.02,0.4
240,1/23/2012,2,0.02,0.4
241,1/24/2012,3,0.03,0.6
242,1/25/2012,4,0.04,0.8
243,1/26/2012,3,0.03,0.6
244,1/27/2012,6,0.06,1.2
245,1/28/2012,0,0,0
246,1/29/2012,1,0.01,0.2
247,1/30/2012,1,0.01,0.2
248,1/31/2012,2,0.02,0.4
249,2/1/2012,1,0.01,0.2
250,2/2/2012,1,0.01,0.2
251,2/3/2012,0,0,0
252,2/4/2012,0,0,0
253,2/5/2012,1,0.01,0.2
254,2/6/2012,0,0,0
255,2/7/2012,0,0,0
256,2/8/2012,1,0.01,0.2
257,2/9/2012,0,0,0
258,2/10/2012,0,0,0
259,2/11/2012,1,0.01,0.2
260,2/12/2012,0,0,0
261,2/13/2012,0,0,0
262,2/14/2012,0,0,0
263,2/15/2012,1,0.01,0.2
264,2/16/2012,0,0,0
265,2/17/2012,0,0,0
266,2/18/2012,1,0.01,0.2
267,2/19/2012,0,0,0
268,2/20/2012,0,0,0
269,2/21/2012,0,0,0
270,2/22/2012,1,0.01,0.2
271,2/23/2012,0,0,0
272,2/24/2012,0,0,0
273,2/25/2012,0,0,0
274,2/26/2012,23,0.23,4.6
275,2/27/2012,0,0,0
276,2/28/2012,2,0.02,0.4
277,2/29/2012,54,0.54,10.8
278,3/1/2012,9,0.09,1.8
279,3/2/2012,3,0.03,0.6
280,3/3/2012,0,0,0
281,3/4/2012,0,0,0
282,3/5/2012,0,0,0
283,3/6/2012,0,0,0
284,3/7/2012,0,0,0
285,3/8/2012,0,0,0
286,3/9/2012,0,0,0
287,3/10/2012,0,0,0
288,3/11/2012,15,0.15,3
289,3/12/2012,4,0.04,0.8
290,3/13/2012,118,1.18,23.6
291,3/14/2012,70,0.7,14
292,3/15/2012,20,0.2,4
293,3/16/2012,5,0.05,1
294,3/17/2012,1,0.01,0.2
295,3/18/2012,1,0.01,0.2
296,3/19/2012,0,0,0
297,3/20/2012,0,0,0
298,3/21/2012,1,0.01,0.2
299,3/22/2012,0,0,0
300,3/23/2012,0,0,0
301,3/24/2012,0,0,0
302,3/25/2012,0,0,0
303,3/26/2012,0,0,0
304,3/27/2012,1,0.01,0.2
305,3/28/2012,0,0,0
306,3/29/2012,0,0,0
307,3/30/2012,1,0.01,0.2
308,3/31/2012,0,0,0
309,4/1/2012,0,0,0
310,4/2/2012,0,0,0
311,4/3/2012,1,0.01,0.2
312,4/4/2012,0,0,0
313,4/5/2012,0,0,0
314,4/6/2012,1,0.01,0.2
315,4/7/2012,0,0,0
316,4/8/2012,0,0,0
317,4/9/2012,1,0.01,0.2
318,4/10/2012,0,0,0
319,4/11/2012,0,0,0
320,4/12/2012,1,0.01,0.2
321,4/13/2012,0,0,0
322,4/14/2012,0,0,0
323,4/15/2012,0,0,0
324,4/16/2012,1,0.01,0.2
325,4/17/2012,0,0,0
326,4/18/2012,0,0,0
327,4/19/2012,0,0,0
328,4/20/2012,0,0,0
329,4/21/2012,0,0,0
330,4/22/2012,0,0,0
331,4/23/2012,0,0,0
332,4/24/2012,0,0,0
333,4/25/2012,0,0,0
334,4/26/2012,1,0.01,0.2
335,4/27/2012,0,0,0
336,4/28/2012,0,0,0
337,4/29/2012,0,0,0
338,4/30/2012,0,0,0
339,5/1/2012,0,0,0
340,5/2/2012,1,0.01,0.2
