#,date,daily_events,in,mm
1,6/7/2011,1,0.01,0.2
2,6/8/2011,0,0,0
3,6/9/2011,0,0,0
4,6/10/2011,0,0,0
5,6/11/2011,0,0,0
6,6/12/2011,0,0,0
7,6/13/2011,0,0,0
8,6/14/2011,0,0,0
9,6/15/2011,0,0,0
10,6/16/2011,0,0,0
11,6/17/2011,0,0,0
12,6/18/2011,0,0,0
13,6/19/2011,0,0,0
14,6/20/2011,0,0,0
15,6/21/2011,0,0,0
16,6/22/2011,0,0,0
17,6/23/2011,0,0,0
18,6/24/2011,0,0,0
19,6/25/2011,0,0,0
20,6/26/2011,0,0,0
21,6/27/2011,0,0,0
22,6/28/2011,93,0.93,18.6
23,6/29/2011,1,0.01,0.2
24,6/30/2011,0,0,0
25,7/1/2011,0,0,0
26,7/2/2011,0,0,0
27,7/3/2011,0,0,0
28,7/4/2011,0,0,0
29,7/5/2011,0,0,0
30,7/6/2011,0,0,0
31,7/7/2011,0,0,0
32,7/8/2011,0,0,0
33,7/9/2011,0,0,0
34,7/10/2011,0,0,0
35,7/11/2011,0,0,0
36,7/12/2011,0,0,0
37,7/13/2011,0,0,0
38,7/14/2011,0,0,0
39,7/15/2011,0,0,0
40,7/16/2011,0,0,0
41,7/17/2011,0,0,0
42,7/18/2011,0,0,0
43,7/19/2011,0,0,0
44,7/20/2011,0,0,0
45,7/21/2011,0,0,0
46,7/22/2011,0,0,0
47,7/23/2011,0,0,0
48,7/24/2011,0,0,0
49,7/25/2011,0,0,0
50,7/26/2011,0,0,0
51,7/27/2011,0,0,0
52,7/28/2011,0,0,0
53,7/29/2011,0,0,0
54,7/30/2011,0,0,0
55,7/31/2011,1,0.01,0.2
56,8/1/2011,0,0,0
57,8/2/2011,0,0,0
58,8/3/2011,0,0,0
59,8/4/2011,0,0,0
60,8/5/2011,0,0,0
61,8/6/2011,0,0,0
62,8/7/2011,0,0,0
63,8/8/2011,0,0,0
64,8/9/2011,0,0,0
65,8/10/2011,0,0,0
66,8/11/2011,0,0,0
67,8/12/2011,0,0,0
