id	date	time	events
annadel	4/9/2009	10:06:10	10783
annadel	4/9/2009	03:20.5	10784
annadel	4/9/2009	14:45:39	10785
annadel	4/9/2009	23:16.5	10786
annadel	4/9/2009	47:45.5	10787
annadel	4/9/2009	15:13.5	10788
annadel	4/9/2009	50:35.5	10789
annadel	4/9/2009	26:26.5	10790
annadel	5/1/2009	11:16:12	10791
annadel	5/1/2009	25:15.5	10792
annadel	5/1/2009	12:29:56	10793
annadel	5/1/2009	13:27:45	10794
annadel	5/1/2009	29:52.5	10795
annadel	5/1/2009	31:41.5	10796
annadel	5/1/2009	34:03.5	10797
annadel	5/1/2009	36:15.5	10798
annadel	5/1/2009	13:39:25	10799
annadel	5/1/2009	13:44:02	10800
annadel	5/1/2009	12:13.5	10801
annadel	5/1/2009	14:22:20	10802
annadel	5/1/2009	23:46.5	10803
annadel	5/1/2009	14:24:26	10804
annadel	5/1/2009	25:51.5	10805
annadel	5/1/2009	30:15.5	10806
annadel	5/1/2009	14:33:27	10807
annadel	5/1/2009	34:28.5	10808
annadel	5/1/2009	14:35:25	10809
annadel	5/1/2009	38:03.5	10810
annadel	5/1/2009	14:46:22	10811
annadel	5/1/2009	14:57:36	10812
annadel	5/1/2009	15:04:43	10813
annadel	5/1/2009	08:15.5	10814
annadel	5/1/2009	15:11:23	10815
annadel	5/1/2009	16:32.5	10816
annadel	5/1/2009	20:03.5	10817
annadel	5/1/2009	15:21:54	10818
annadel	5/1/2009	24:05.5	10819
annadel	5/1/2009	15:29:18	10820
annadel	5/1/2009	33:54.5	10821
annadel	5/1/2009	15:37:42	10822
annadel	5/1/2009	15:40:06	10823
annadel	5/1/2009	42:57.5	10824
annadel	5/1/2009	46:42.5	10825
annadel	5/1/2009	51:11.5	10826
annadel	5/1/2009	15:55:13	10827
annadel	5/1/2009	58:55.5	10828
annadel	5/1/2009	02:51.5	10829
annadel	5/1/2009	16:09:04	10830
annadel	5/1/2009	17:59.5	10831
annadel	5/1/2009	16:27:51	10832
annadel	5/1/2009	16:36:57	10833
annadel	5/1/2009	16:42:31	10834
annadel	5/1/2009	48:13.5	10835
annadel	5/1/2009	16:52:12	10836
annadel	5/1/2009	55:32.5	10837
annadel	5/1/2009	57:21.5	10838
annadel	5/1/2009	59:49.5	10839
annadel	5/1/2009	17:02:07	10840
annadel	5/1/2009	05:15.5	10841
annadel	5/1/2009	17:08:55	10842
annadel	5/1/2009	13:59.5	10843
annadel	5/1/2009	18:09.5	10844
annadel	5/1/2009	17:21:39	10845
annadel	5/1/2009	17:25:44	10846
annadel	5/1/2009	17:29:26	10847
annadel	5/1/2009	31:46.5	10848
annadel	5/1/2009	17:35:45	10849
annadel	5/1/2009	17:40:47	10850
annadel	5/1/2009	45:16.5	10851
annadel	5/1/2009	17:51:37	10852
annadel	5/1/2009	17:55:28	10853
annadel	5/1/2009	58:43.5	10854
annadel	5/1/2009	18:17:11	10855
annadel	5/1/2009	18:41:16	10856
annadel	5/1/2009	18:55:44	10857
annadel	5/1/2009	18:59:36	10858
annadel	5/1/2009	19:01:28	10859
annadel	5/1/2009	19:10:14	10860
annadel	5/1/2009	34:34.5	10861
annadel	5/1/2009	19:45:53	10862
annadel	5/1/2009	48:49.5	10863
annadel	5/1/2009	22:04:48	10864
annadel	5/1/2009	22:31:11	10865
annadel	5/1/2009	22:34:50	10866
annadel	5/1/2009	22:54:43	10867
annadel	5/1/2009	23:14:06	10868
annadel	5/1/2009	23:29:43	10869
annadel	5/2/2009	35:14.5	10870
annadel	5/2/2009	9:49:32	10871
annadel	5/2/2009	05:50.5	10872
annadel	5/2/2009	31:28.5	10873
annadel	5/2/2009	43:13.5	10874
annadel	5/2/2009	11:00:30	10875
annadel	5/2/2009	18:22.5	10876
annadel	5/2/2009	32:14.5	10877
annadel	5/2/2009	45:50.5	10878
annadel	5/2/2009	12:12:35	10879
annadel	5/2/2009	26:30.5	10880
annadel	5/2/2009	15:03:14	10881
annadel	5/2/2009	18:14:47	10882
annadel	5/3/2009	5:35:17	10883
annadel	5/3/2009	36:51.5	10884
annadel	5/3/2009	5:40:08	10885
annadel	5/3/2009	5:41:01	10886
annadel	5/3/2009	41:44.5	10887
annadel	5/3/2009	42:29.5	10888
annadel	5/3/2009	5:43:36	10889
annadel	5/3/2009	45:17.5	10890
annadel	5/3/2009	5:46:30	10891
annadel	5/3/2009	48:10.5	10892
annadel	5/3/2009	5:49:37	10893
annadel	5/3/2009	5:51:31	10894
annadel	5/3/2009	53:07.5	10895
annadel	5/3/2009	53:59.5	10896
annadel	5/3/2009	5:56:03	10897
annadel	5/3/2009	5:57:26	10898
annadel	5/3/2009	58:45.5	10899
annadel	5/3/2009	6:00:36	10900
annadel	5/3/2009	03:08.5	10901
annadel	5/3/2009	6:05:04	10902
annadel	5/3/2009	6:07:06	10903
annadel	5/3/2009	08:11.5	10904
annadel	5/3/2009	09:12.5	10905
annadel	5/3/2009	6:09:42	10906
annadel	5/3/2009	11:01.5	10907
annadel	5/3/2009	13:04.5	10908
annadel	5/3/2009	6:15:30	10909
annadel	5/3/2009	6:17:35	10910
annadel	5/3/2009	20:15.5	10911
annadel	5/3/2009	21:57.5	10912
annadel	5/3/2009	24:13.5	10913
annadel	5/3/2009	26:22.5	10914
annadel	5/3/2009	6:27:59	10915
annadel	5/3/2009	29:32.5	10916
annadel	5/3/2009	6:33:11	10917
annadel	5/3/2009	6:38:04	10918
annadel	5/3/2009	6:40:06	10919
annadel	5/3/2009	40:55.5	10920
annadel	5/3/2009	6:44:19	10921
annadel	5/3/2009	6:47:09	10922
annadel	5/3/2009	6:50:08	10923
annadel	5/3/2009	51:37.5	10924
annadel	5/3/2009	6:53:41	10925
annadel	5/3/2009	56:18.5	10926
annadel	5/3/2009	6:57:32	10927
annadel	5/3/2009	58:17.5	10928
annadel	5/3/2009	59:01.5	10929
annadel	5/3/2009	59:36.5	10930
annadel	5/3/2009	00:47.5	10931
annadel	5/3/2009	7:02:22	10932
annadel	5/3/2009	7:05:09	10933
annadel	5/3/2009	7:06:25	10934
annadel	5/3/2009	7:07:08	10935
annadel	5/3/2009	7:08:17	10936
annadel	5/3/2009	7:09:47	10937
annadel	5/3/2009	12:17.5	10938
annadel	5/3/2009	14:45.5	10939
annadel	5/3/2009	7:16:08	10940
annadel	5/3/2009	7:17:22	10941
annadel	5/3/2009	18:47.5	10942
annadel	5/3/2009	20:08.5	10943
annadel	5/3/2009	22:57.5	10944
annadel	5/3/2009	7:27:11	10945
annadel	5/3/2009	30:01.5	10946
annadel	5/3/2009	7:33:17	10947
annadel	5/3/2009	7:34:46	10948
annadel	5/3/2009	7:39:48	10949
annadel	5/3/2009	43:32.5	10950
annadel	5/3/2009	46:40.5	10951
annadel	5/3/2009	50:21.5	10952
annadel	5/3/2009	7:55:49	10953
annadel	5/3/2009	59:04.5	10954
annadel	5/3/2009	02:02.5	10955
annadel	5/3/2009	05:13.5	10956
annadel	5/3/2009	08:11.5	10957
annadel	5/3/2009	8:09:28	10958
annadel	5/3/2009	8:11:02	10959
annadel	5/3/2009	8:11:53	10960
