id	date	time	events
backman	2/11/2004	12:25:37	11508
backman	2/13/2004	14:42:59	11509
backman	2/13/2004	16:23.5	11510
backman	2/13/2004	16:19:15	11511
backman	2/13/2004	16:25:58	11512
backman	2/13/2004	16:43:55	11513
backman	2/13/2004	48:06.5	11514
backman	2/13/2004	19:42.5	11515
backman	2/13/2004	39:00.5	11516
backman	2/13/2004	18:45:26	11517
backman	2/13/2004	18:50:58	11518
backman	2/13/2004	18:53:57	11519
backman	2/13/2004	58:05.5	11520
backman	2/14/2004	40:43.5	11521
backman	2/14/2004	23:13:01	11522
backman	2/15/2004	32:37.5	11523
backman	2/15/2004	16:11:15	11524
backman	2/15/2004	16:50:56	11525
backman	2/15/2004	27:18.5	11526
backman	2/15/2004	20:18:20	11527
backman	2/15/2004	20:35:45	11528
backman	2/15/2004	50:26.5	11529
backman	2/16/2004	25:42.5	11530
backman	2/16/2004	31:50.5	11531
backman	2/16/2004	37:39.5	11532
backman	2/16/2004	0:43:01	11533
backman	2/16/2004	0:49:47	11534
backman	2/16/2004	0:57:26	11535
backman	2/16/2004	1:09:40	11536
backman	2/16/2004	1:17:44	11537
backman	2/16/2004	22:27.5	11538
backman	2/16/2004	26:46.5	11539
backman	2/16/2004	1:31:26	11540
backman	2/16/2004	1:35:29	11541
backman	2/16/2004	1:39:10	11542
backman	2/16/2004	41:58.5	11543
backman	2/16/2004	1:45:24	11544
backman	2/16/2004	48:44.5	11545
backman	2/16/2004	53:03.5	11546
backman	2/16/2004	1:57:00	11547
backman	2/16/2004	1:59:49	11548
backman	2/16/2004	02:08.5	11549
backman	2/16/2004	2:04:51	11550
backman	2/16/2004	08:06.5	11551
backman	2/16/2004	12:33.5	11552
backman	2/16/2004	2:15:38	11553
backman	2/16/2004	18:36.5	11554
backman	2/16/2004	21:21.5	11555
backman	2/16/2004	23:48.5	11556
backman	2/16/2004	25:43.5	11557
backman	2/16/2004	2:27:42	11558
backman	2/16/2004	2:29:11	11559
backman	2/16/2004	31:10.5	11560
backman	2/16/2004	2:32:47	11561
backman	2/16/2004	34:45.5	11562
backman	2/16/2004	36:19.5	11563
backman	2/16/2004	2:38:39	11564
backman	2/16/2004	40:20.5	11565
backman	2/16/2004	2:42:55	11566
backman	2/16/2004	2:45:20	11567
backman	2/16/2004	2:49:00	11568
backman	2/16/2004	52:35.5	11569
backman	2/16/2004	55:42.5	11570
backman	2/16/2004	2:58:09	11571
backman	2/16/2004	3:01:23	11572
backman	2/16/2004	04:43.5	11573
backman	2/16/2004	11:18.5	11574
backman	2/16/2004	3:18:30	11575
backman	2/16/2004	26:50.5	11576
backman	2/16/2004	3:31:43	11577
backman	2/16/2004	36:53.5	11578
backman	2/16/2004	3:40:08	11579
backman	2/16/2004	44:37.5	11580
backman	2/16/2004	3:50:40	11581
backman	2/16/2004	06:24.5	11582
backman	2/16/2004	12:19.5	11583
backman	2/16/2004	4:18:47	11584
backman	2/16/2004	22:28.5	11585
backman	2/16/2004	28:25.5	11586
backman	2/16/2004	33:38.5	11587
backman	2/16/2004	4:39:27	11588
backman	2/16/2004	44:14.5	11589
backman	2/16/2004	51:25.5	11590
backman	2/16/2004	4:57:36	11591
backman	2/16/2004	05:22.5	11592
backman	2/16/2004	10:27.5	11593
backman	2/16/2004	5:16:51	11594
backman	2/16/2004	21:24.5	11595
backman	2/16/2004	27:59.5	11596
backman	2/16/2004	31:20.5	11597
backman	2/16/2004	36:55.5	11598
backman	2/16/2004	39:49.5	11599
backman	2/16/2004	5:47:49	11600
backman	2/16/2004	53:25.5	11601
backman	2/16/2004	5:58:56	11602
backman	2/16/2004	6:05:14	11603
backman	2/16/2004	16:40.5	11604
backman	2/16/2004	6:24:03	11605
backman	2/16/2004	6:31:30	11606
backman	2/16/2004	6:37:04	11607
backman	2/16/2004	44:38.5	11608
backman	2/16/2004	04:20.5	11609
backman	2/16/2004	17:53.5	11610
backman	2/16/2004	7:20:57	11611
backman	2/16/2004	32:56.5	11612
backman	2/16/2004	7:41:55	11613
backman	2/16/2004	53:23.5	11614
backman	2/16/2004	57:55.5	11615
backman	2/16/2004	59:57.5	11616
backman	2/16/2004	8:01:13	11617
backman	2/16/2004	8:03:07	11618
backman	2/16/2004	8:05:06	11619
backman	2/16/2004	8:08:35	11620
backman	2/16/2004	8:10:39	11621
backman	2/16/2004	8:12:31	11622
backman	2/16/2004	14:37.5	11623
backman	2/16/2004	8:16:47	11624
backman	2/16/2004	8:18:16	11625
backman	2/16/2004	8:20:17	11626
backman	2/16/2004	21:45.5	11627
backman	2/16/2004	23:20.5	11628
backman	2/16/2004	8:24:42	11629
backman	2/16/2004	25:49.5	11630
backman	2/16/2004	27:06.5	11631
backman	2/16/2004	28:29.5	11632
backman	2/16/2004	8:29:37	11633
backman	2/16/2004	8:30:44	11634
backman	2/16/2004	32:14.5	11635
backman	2/16/2004	33:53.5	11636
backman	2/16/2004	35:15.5	11637
backman	2/16/2004	8:36:53	11638
backman	2/16/2004	37:58.5	11639
backman	2/16/2004	39:32.5	11640
backman	2/16/2004	40:44.5	11641
backman	2/16/2004	42:43.5	11642
backman	2/16/2004	44:12.5	11643
backman	2/16/2004	8:45:27	11644
backman	2/16/2004	8:47:04	11645
backman	2/16/2004	8:48:49	11646
backman	2/16/2004	49:58.5	11647
backman	2/16/2004	8:51:16	11648
backman	2/16/2004	52:44.5	11649
backman	2/16/2004	8:54:32	11650
backman	2/16/2004	8:55:58	11651
backman	2/16/2004	57:04.5	11652
