id	date	time	events
backman	6/2/2004	10:46:55	12984
backman	6/8/2004	47:05.5	12985
backman	6/8/2004	47:54.5	12986
backman	6/8/2004	16:48:28	12987
backman	6/8/2004	48:51.5	12988
backman	6/8/2004	50:08.5	12989
backman	6/8/2004	51:29.5	12990
backman	6/8/2004	00:55.5	12991
backman	7/8/2004	9:04:07	12992
backman	9/19/2004	50:07.5	12993
backman	9/19/2004	6:55:51	12994
backman	9/19/2004	6:59:44	12995
backman	9/19/2004	02:57.5	12996
backman	9/19/2004	09:55.5	12997
backman	9/19/2004	19:08.5	12998
backman	10/16/2004	57:27.5	12999
backman	10/17/2004	01:15.5	13000
backman	10/17/2004	20:32.5	13001
backman	10/17/2004	25:16.5	13002
backman	10/17/2004	31:17.5	13003
backman	10/17/2004	34:19.5	13004
backman	10/17/2004	3:41:46	13005
backman	10/17/2004	43:58.5	13006
backman	10/17/2004	3:46:43	13007
backman	10/17/2004	52:24.5	13008
backman	10/17/2004	3:54:55	13009
backman	10/17/2004	57:38.5	13010
backman	10/17/2004	3:58:42	13011
backman	10/17/2004	4:00:25	13012
backman	10/17/2004	09:38.5	13013
backman	10/17/2004	20:15.5	13014
backman	10/17/2004	22:57.5	13015
backman	10/17/2004	23:55.5	13016
backman	10/17/2004	4:24:33	13017
backman	10/17/2004	4:25:34	13018
backman	10/17/2004	4:28:10	13019
backman	10/17/2004	4:30:50	13020
backman	10/17/2004	4:32:29	13021
backman	10/17/2004	33:41.5	13022
backman	10/17/2004	35:22.5	13023
backman	10/17/2004	4:37:28	13024
backman	10/17/2004	42:28.5	13025
backman	10/17/2004	44:28.5	13026
backman	10/17/2004	55:45.5	13027
backman	10/17/2004	4:57:24	13028
backman	10/17/2004	58:53.5	13029
backman	10/17/2004	00:18.5	13030
backman	10/17/2004	5:01:45	13031
backman	10/17/2004	5:03:39	13032
backman	10/17/2004	5:05:31	13033
backman	10/17/2004	06:39.5	13034
backman	10/17/2004	08:56.5	13035
backman	10/17/2004	10:38.5	13036
backman	10/17/2004	5:12:11	13037
backman	10/17/2004	13:31.5	13038
backman	10/17/2004	5:15:04	13039
backman	10/17/2004	5:16:13	13040
backman	10/17/2004	18:10.5	13041
backman	10/17/2004	5:19:11	13042
backman	10/17/2004	20:50.5	13043
backman	10/17/2004	21:49.5	13044
backman	10/17/2004	5:23:45	13045
backman	10/17/2004	5:25:11	13046
backman	10/17/2004	26:27.5	13047
backman	10/17/2004	5:27:21	13048
backman	10/17/2004	28:38.5	13049
backman	10/17/2004	5:29:48	13050
backman	10/17/2004	5:32:37	13051
backman	10/17/2004	5:34:13	13052
backman	10/17/2004	5:35:46	13053
backman	10/17/2004	37:12.5	13054
backman	10/17/2004	5:38:53	13055
backman	10/17/2004	44:08.5	13056
backman	10/17/2004	47:21.5	13057
backman	10/17/2004	5:49:59	13058
backman	10/17/2004	5:51:18	13059
backman	10/17/2004	53:08.5	13060
backman	10/17/2004	57:01.5	13061
backman	10/17/2004	5:59:25	13062
backman	10/17/2004	01:34.5	13063
backman	10/17/2004	02:54.5	13064
backman	10/17/2004	6:04:14	13065
backman	10/17/2004	6:05:02	13066
backman	10/17/2004	6:06:16	13067
backman	10/17/2004	07:36.5	13068
backman	10/17/2004	6:09:38	13069
backman	10/17/2004	12:56.5	13070
backman	10/17/2004	6:15:18	13071
backman	10/17/2004	17:40.5	13072
backman	10/17/2004	20:46.5	13073
backman	10/17/2004	22:12.5	13074
backman	10/17/2004	6:23:59	13075
backman	10/17/2004	26:07.5	13076
backman	10/17/2004	6:29:22	13077
backman	10/17/2004	30:55.5	13078
backman	10/17/2004	6:32:25	13079
backman	10/17/2004	34:41.5	13080
backman	10/17/2004	38:22.5	13081
backman	10/17/2004	6:40:37	13082
backman	10/17/2004	6:42:30	13083
backman	10/17/2004	6:44:21	13084
backman	10/17/2004	47:52.5	13085
backman	10/17/2004	52:08.5	13086
backman	10/17/2004	54:34.5	13087
backman	10/17/2004	56:40.5	13088
backman	10/17/2004	6:58:27	13089
backman	10/17/2004	7:15:08	13090
backman	10/17/2004	7:23:21	13091
backman	10/17/2004	7:27:01	13092
backman	10/17/2004	7:30:13	13093
backman	10/17/2004	7:51:47	13094
backman	10/17/2004	12:16.5	13095
backman	10/17/2004	8:17:12	13096
backman	10/17/2004	18:39.5	13097
backman	10/17/2004	19:43.5	13098
backman	10/17/2004	21:29.5	13099
backman	10/17/2004	8:23:27	13100
backman	10/17/2004	26:44.5	13101
backman	10/17/2004	9:10:45	13102
backman	10/17/2004	9:40:17	13103
backman	10/17/2004	9:41:33	13104
backman	10/17/2004	42:03.5	13105
backman	10/17/2004	14:45.5	13106
backman	10/17/2004	12:03:34	13107
backman	10/17/2004	13:49:28	13108
backman	10/17/2004	03:20.5	13109
backman	10/17/2004	15:35:49	13110
backman	10/17/2004	15:48:55	13111
backman	10/17/2004	16:29:03	13112
backman	10/19/2004	22:13.5	13113
backman	10/19/2004	33:19.5	13114
backman	10/19/2004	4:22:41	13115
backman	10/19/2004	05:18.5	13116
backman	10/19/2004	25:42.5	13117
backman	10/19/2004	55:30.5	13118
backman	10/19/2004	16:17.5	13119
backman	10/19/2004	7:58:16	13120
backman	10/19/2004	35:44.5	13121
backman	10/19/2004	9:06:02	13122
backman	10/19/2004	9:30:06	13123
backman	10/19/2004	9:54:52	13124
backman	10/19/2004	08:10.5	13125
backman	10/19/2004	44:24.5	13126
backman	10/19/2004	12:03:23	13127
backman	10/19/2004	45:57.5	13128
backman	10/19/2004	01:54.5	13129
backman	10/20/2004	19:42.5	13130
backman	10/20/2004	3:16:28	13131
backman	10/20/2004	56:33.5	13132
backman	10/23/2004	57:33.5	13133
backman	10/23/2004	46:45.5	13134
backman	10/23/2004	12:17:43	13135
backman	10/23/2004	53:56.5	13136
backman	10/23/2004	57:22.5	13137
backman	10/23/2004	56:25.5	13138
backman	10/23/2004	17:02.5	13139
backman	10/25/2004	28:14.5	13140
backman	10/25/2004	22:25:11	13141
backman	10/25/2004	22:45:20	13142
backman	10/25/2004	00:50.5	13143
backman	10/25/2004	23:44.5	13144
backman	10/25/2004	56:29.5	13145
backman	10/26/2004	0:43:21	13146
backman	10/26/2004	1:18:49	13147
backman	10/26/2004	4:53:37	13148
backman	11/4/2004	6:18:36	13149
backman	11/10/2004	23:56.5	13150
backman	11/10/2004	2:26:22	13151
backman	11/10/2004	41:36.5	13152
backman	11/10/2004	28:58.5	13153
backman	11/10/2004	10:04:07	13154
backman	11/10/2004	13:48:18	13155
backman	11/10/2004	23:53:47	13156
backman	11/11/2004	1:28:35	13157
backman	11/11/2004	8:15:19	13158
backman	11/11/2004	8:41:33	13159
backman	11/11/2004	13:02.5	13160
backman	11/11/2004	00:58.5	13161
backman	11/11/2004	41:39.5	13162
backman	11/11/2004	40:38.5	13163
backman	11/11/2004	14:22:13	13164
backman	11/11/2004	37:56.5	13165
backman	11/11/2004	52:10.5	13166
backman	11/12/2004	18:03.5	13167
backman	11/12/2004	5:18:05	13168
backman	11/12/2004	5:18:07	13169
backman	11/12/2004	18:08.5	13170
backman	11/12/2004	5:18:10	13171
backman	11/12/2004	18:11.5	13172
backman	11/12/2004	5:18:13	13173
backman	11/12/2004	5:18:17	13174
backman	11/12/2004	5:18:57	13175
backman	11/12/2004	5:19:02	13176
backman	11/12/2004	5:19:04	13177
backman	11/12/2004	19:05.5	13178
backman	11/12/2004	19:09.5	13179
backman	11/12/2004	19:11.5	13180
backman	11/12/2004	5:19:14	13181
backman	11/12/2004	19:15.5	13182
backman	11/12/2004	5:19:17	13183
backman	11/12/2004	19:18.5	13184
backman	11/12/2004	5:19:20	13185
backman	11/12/2004	19:21.5	13186
backman	11/12/2004	5:19:23	13187
backman	11/12/2004	19:24.5	13188
backman	11/12/2004	5:19:31	13189
backman	11/12/2004	19:33.5	13190
backman	11/12/2004	5:19:35	13191
backman	11/12/2004	19:36.5	13192
backman	11/12/2004	5:19:38	13193
backman	11/12/2004	19:39.5	13194
backman	11/12/2004	5:19:41	13195
backman	11/12/2004	19:42.5	13196
backman	11/12/2004	19:52.5	13197
backman	11/12/2004	5:19:55	13198
backman	11/13/2004	2:47:32	13199
backman	11/13/2004	47:33.5	13200
backman	11/13/2004	2:47:35	13201
backman	11/13/2004	47:36.5	13202
backman	11/13/2004	2:47:38	13203
backman	11/13/2004	47:39.5	13204
backman	11/13/2004	2:47:41	13205
backman	11/13/2004	47:42.5	13206
backman	11/13/2004	2:47:44	13207
backman	11/13/2004	47:45.5	13208
backman	11/13/2004	2:47:47	13209
backman	11/13/2004	47:48.5	13210
backman	11/13/2004	2:47:50	13211
backman	11/13/2004	47:51.5	13212
backman	11/13/2004	2:47:53	13213
backman	11/13/2004	47:54.5	13214
backman	11/13/2004	47:56.5	13215
backman	11/13/2004	2:47:58	13216
backman	11/13/2004	47:59.5	13217
backman	11/13/2004	2:48:01	13218
backman	11/13/2004	48:02.5	13219
backman	11/13/2004	2:48:04	13220
backman	11/13/2004	48:05.5	13221
backman	11/13/2004	2:48:07	13222
backman	11/13/2004	48:08.5	13223
backman	11/13/2004	2:48:10	13224
backman	11/13/2004	48:11.5	13225
backman	11/13/2004	2:48:13	13226
backman	11/13/2004	48:14.5	13227
backman	11/13/2004	2:48:16	13228
backman	11/13/2004	48:17.5	13229
backman	11/13/2004	2:48:19	13230
backman	11/13/2004	48:20.5	13231
backman	11/13/2004	2:48:22	13232
backman	11/13/2004	48:23.5	13233
backman	11/13/2004	2:48:25	13234
backman	11/13/2004	48:26.5	13235
backman	11/13/2004	2:48:28	13236
backman	11/13/2004	48:29.5	13237
