id	date	time	events
beltane	9/20/2003	5:00:00	54638
beltane	10/31/2003	07:26.5	54639
beltane	11/2/2003	51:16.5	54640
beltane	11/2/2003	09:36.5	54641
beltane	11/2/2003	14:47.5	54642
beltane	11/2/2003	20:19:54	54643
beltane	11/2/2003	26:37.5	54644
beltane	11/2/2003	20:30:00	54645
beltane	11/2/2003	20:32:54	54646
beltane	11/2/2003	20:35:55	54647
beltane	11/2/2003	43:08.5	54648
beltane	11/2/2003	20:49:02	54649
beltane	11/2/2003	20:49:48	54650
beltane	11/2/2003	51:48.5	54651
beltane	11/2/2003	54:18.5	54652
beltane	11/2/2003	58:41.5	54653
beltane	11/2/2003	01:15.5	54654
beltane	11/2/2003	21:05:49	54655
beltane	11/2/2003	21:13:33	54656
beltane	11/2/2003	21:17:47	54657
beltane	11/2/2003	20:06.5	54658
beltane	11/2/2003	21:22:14	54659
beltane	11/2/2003	26:02.5	54660
beltane	11/2/2003	21:38:08	54661
beltane	11/2/2003	21:41:44	54662
beltane	11/2/2003	44:53.5	54663
beltane	11/2/2003	46:32.5	54664
beltane	11/2/2003	21:49:05	54665
beltane	11/2/2003	06:27.5	54666
beltane	11/2/2003	23:02:39	54667
beltane	11/2/2003	23:19.5	54668
beltane	11/2/2003	33:04.5	54669
beltane	11/2/2003	23:58:05	54670
beltane	11/3/2003	08:00.5	54671
beltane	11/3/2003	0:09:58	54672
beltane	11/3/2003	14:29.5	54673
beltane	11/3/2003	11:02.5	54674
beltane	11/5/2003	57:54.5	54675
beltane	11/6/2003	13:26.5	54676
beltane	11/6/2003	19:10:04	54677
beltane	11/6/2003	19:37:14	54678
beltane	11/6/2003	19:59:32	54679
beltane	11/6/2003	10:52.5	54680
beltane	11/6/2003	20:16:15	54681
beltane	11/6/2003	20:02.5	54682
beltane	11/6/2003	26:52.5	54683
beltane	11/6/2003	34:52.5	54684
beltane	11/6/2003	44:20.5	54685
beltane	11/6/2003	50:16.5	54686
beltane	11/6/2003	20:59:38	54687
beltane	11/6/2003	21:06:54	54688
beltane	11/6/2003	21:15:34	54689
beltane	11/6/2003	24:08.5	54690
beltane	11/6/2003	21:37:36	54691
beltane	11/6/2003	47:07.5	54692
beltane	11/6/2003	21:54:53	54693
beltane	11/6/2003	03:58.5	54694
beltane	11/6/2003	22:11:54	54695
beltane	11/6/2003	22:19:16	54696
beltane	11/6/2003	33:06.5	54697
beltane	11/6/2003	22:45:49	54698
beltane	11/6/2003	53:54.5	54699
beltane	11/6/2003	23:01:21	54700
beltane	11/6/2003	16:52.5	54701
beltane	11/6/2003	23:27:13	54702
beltane	11/6/2003	36:24.5	54703
beltane	11/6/2003	23:43:14	54704
beltane	11/6/2003	49:41.5	54705
beltane	11/6/2003	23:58:15	54706
beltane	11/7/2003	19:34.5	54707
beltane	11/7/2003	44:31.5	54708
beltane	11/7/2003	14:00:36	54709
beltane	11/8/2003	17:31.5	54710
beltane	11/8/2003	28:46.5	54711
beltane	11/8/2003	49:54.5	54712
beltane	11/8/2003	2:51:50	54713
beltane	11/8/2003	2:53:18	54714
beltane	11/8/2003	2:55:48	54715
beltane	11/8/2003	2:58:03	54716
beltane	11/8/2003	03:52.5	54717
beltane	11/8/2003	3:38:00	54718
beltane	11/8/2003	40:36.5	54719
beltane	11/8/2003	25:30.5	54720
beltane	11/8/2003	33:07.5	54721
beltane	11/8/2003	4:52:48	54722
beltane	11/8/2003	4:56:05	54723
beltane	11/8/2003	5:04:51	54724
beltane	11/8/2003	07:51.5	54725
beltane	11/8/2003	5:10:42	54726
beltane	11/8/2003	15:48.5	54727
beltane	11/8/2003	18:08.5	54728
beltane	11/8/2003	25:09.5	54729
beltane	11/8/2003	26:42.5	54730
beltane	11/8/2003	5:28:06	54731
beltane	11/8/2003	29:27.5	54732
beltane	11/8/2003	5:41:38	54733
beltane	11/8/2003	5:44:56	54734
beltane	11/8/2003	45:44.5	54735
beltane	11/8/2003	47:11.5	54736
beltane	11/8/2003	5:49:16	54737
beltane	11/8/2003	49:47.5	54738
beltane	11/8/2003	50:52.5	54739
beltane	11/8/2003	5:52:25	54740
beltane	11/8/2003	53:45.5	54741
beltane	11/8/2003	56:22.5	54742
beltane	11/8/2003	6:48:21	54743
beltane	11/8/2003	8:12:37	54744
beltane	11/8/2003	19:14.5	54745
beltane	11/8/2003	8:50:36	54746
beltane	11/8/2003	13:17.5	54747
beltane	11/8/2003	24:35.5	54748
beltane	11/8/2003	9:45:20	54749
beltane	11/8/2003	10:11:16	54750
beltane	11/8/2003	19:18.5	54751
beltane	11/8/2003	13:21:54	54752
beltane	11/8/2003	13:24:08	54753
beltane	11/8/2003	13:25:28	54754
beltane	11/8/2003	28:02.5	54755
beltane	11/8/2003	29:00.5	54756
beltane	11/8/2003	13:30:57	54757
beltane	11/8/2003	32:26.5	54758
beltane	11/8/2003	13:34:15	54759
