id	date	time	events
beltane	5/9/2008	15:25:10	72277
beltane	5/9/2008	15:25:52	72278
beltane	5/24/2008	23:05.5	72279
beltane	5/24/2008	25:31.5	72280
beltane	5/24/2008	8:38:21	72281
beltane	5/24/2008	48:25.5	72282
beltane	5/24/2008	9:00:23	72283
beltane	5/24/2008	04:44.5	72284
beltane	5/24/2008	9:14:20	72285
beltane	5/24/2008	20:18.5	72286
beltane	5/24/2008	37:31.5	72287
beltane	5/24/2008	41:21.5	72288
beltane	5/24/2008	9:53:08	72289
beltane	5/24/2008	57:27.5	72290
beltane	5/24/2008	10:12:51	72291
beltane	5/24/2008	16:44.5	72292
beltane	5/24/2008	10:27:11	72293
beltane	5/24/2008	10:30:05	72294
beltane	5/24/2008	35:55.5	72295
beltane	5/24/2008	37:51.5	72296
beltane	5/24/2008	10:44:44	72297
beltane	5/24/2008	48:55.5	72298
beltane	5/24/2008	58:00.5	72299
beltane	5/24/2008	04:48.5	72300
beltane	5/24/2008	11:11:50	72301
beltane	5/24/2008	14:13.5	72302
beltane	5/24/2008	11:22:38	72303
beltane	5/24/2008	11:25:39	72304
beltane	5/24/2008	31:15.5	72305
beltane	5/24/2008	11:34:50	72306
beltane	5/24/2008	14:42.5	72307
beltane	5/24/2008	12:27:41	72308
beltane	5/4/2009	16:15:49	72309
beltane	5/4/2009	16:15:56	72310
beltane	5/4/2009	16:00.5	72311
beltane	5/4/2009	17:19.5	72311
