id	date	time	events
sawi	5/19/2009	13:38:45	150956
sawi	5/19/2009	13:39:34	150957
sawi	6/10/2009	11:04:21	150958
sawi	6/10/2009	04:21.5	150959
sawi	6/10/2009	11:04:25	150960
sawi	6/10/2009	04:27.5	150961
sawi	6/10/2009	11:04:29	150962
sawi	6/10/2009	04:30.5	150963
sawi	6/10/2009	04:31.5	150964
sawi	6/10/2009	04:32.5	150965
sawi	6/10/2009	11:04:35	150966
sawi	6/10/2009	04:35.5	150967
sawi	6/10/2009	11:04:41	150968
sawi	6/10/2009	11:04:43	150969
sawi	6/10/2009	04:43.5	150970
sawi	6/10/2009	11:04:46	150971
sawi	7/5/2009	34:42.5	150972
sawi	7/31/2009	2:52:28	150973
sawi	7/31/2009	6:51:50	150974
sawi	9/13/2009	14:33.5	150975
sawi	9/13/2009	37:00.5	150976
sawi	9/13/2009	15:37:01	150977
sawi	9/13/2009	45:07.5	150978
sawi	9/13/2009	15:47:54	150979
sawi	9/13/2009	53:59.5	150980
sawi	9/13/2009	01:21.5	150981
sawi	9/13/2009	06:35.5	150982
sawi	9/13/2009	08:04.5	150983
sawi	9/13/2009	19:19:26	150984
sawi	9/13/2009	19:26.5	150985
sawi	9/13/2009	19:24:08	150986
sawi	9/13/2009	31:55.5	150987
sawi	9/13/2009	41:39.5	150988
sawi	9/13/2009	48:13.5	150989
sawi	9/13/2009	50:47.5	150990
sawi	9/13/2009	19:55:13	150991
sawi	9/13/2009	20:10:49	150992
sawi	9/13/2009	10:49.5	150993
sawi	9/13/2009	21:09.5	150994
sawi	9/13/2009	20:21:10	150995
sawi	9/13/2009	57:28.5	150996
sawi	9/13/2009	08:02.5	150997
sawi	9/13/2009	11:22.5	150998
sawi	9/13/2009	18:33.5	150999
sawi	9/13/2009	21:43:54	151000
sawi	9/13/2009	07:32.5	151001
sawi	9/14/2009	5:43:19	151002
sawi	9/14/2009	43:19.5	151003
sawi	10/12/2009	3:35:24	151004
sawi	10/13/2009	1:41:11	151005
sawi	10/13/2009	1:57:13	151006
sawi	10/13/2009	01:28.5	151007
sawi	10/13/2009	09:18.5	151008
sawi	10/13/2009	3:08:53	151009
sawi	10/13/2009	3:29:50	151010
sawi	10/13/2009	3:39:26	151011
sawi	10/13/2009	3:50:56	151012
sawi	10/13/2009	50:56.5	151013
sawi	10/13/2009	4:08:42	151014
sawi	10/13/2009	4:23:00	151015
sawi	10/13/2009	4:27:10	151016
sawi	10/13/2009	31:19.5	151017
sawi	10/13/2009	4:36:39	151018
sawi	10/13/2009	41:02.5	151019
sawi	10/13/2009	47:46.5	151020
sawi	10/13/2009	53:52.5	151021
sawi	10/13/2009	59:56.5	151022
sawi	10/13/2009	04:52.5	151023
sawi	10/13/2009	10:48.5	151024
sawi	10/13/2009	15:42.5	151025
sawi	10/13/2009	5:19:33	151026
sawi	10/13/2009	5:23:00	151027
sawi	10/13/2009	5:27:09	151028
sawi	10/13/2009	27:09.5	151029
sawi	10/13/2009	31:17.5	151030
sawi	10/13/2009	5:33:47	151031
sawi	10/13/2009	33:47.5	151032
sawi	10/13/2009	37:28.5	151033
sawi	10/13/2009	5:40:19	151034
sawi	10/13/2009	43:43.5	151035
sawi	10/13/2009	5:45:40	151036
sawi	10/13/2009	48:22.5	151037
sawi	10/13/2009	5:51:09	151038
sawi	10/13/2009	54:19.5	151039
sawi	10/13/2009	5:54:20	151040
sawi	10/13/2009	56:13.5	151041
sawi	10/13/2009	6:00:42	151042
sawi	10/13/2009	00:42.5	151043
sawi	10/13/2009	04:14.5	151044
sawi	10/13/2009	6:07:01	151045
sawi	10/13/2009	09:08.5	151046
sawi	10/13/2009	12:16.5	151047
sawi	10/13/2009	14:27.5	151048
sawi	10/13/2009	6:16:32	151049
sawi	10/13/2009	18:05.5	151050
sawi	10/13/2009	20:42.5	151051
sawi	10/13/2009	6:22:08	151052
sawi	10/13/2009	6:23:50	151053
sawi	10/13/2009	6:25:15	151054
sawi	10/13/2009	25:15.5	151055
sawi	10/13/2009	27:24.5	151056
sawi	10/13/2009	6:28:43	151057
sawi	10/13/2009	28:43.5	151058
sawi	10/13/2009	6:30:55	151059
sawi	10/13/2009	6:32:22	151060
sawi	10/13/2009	6:34:10	151061
sawi	10/13/2009	6:35:49	151062
sawi	10/13/2009	38:04.5	151063
sawi	10/13/2009	6:38:05	151064
sawi	10/13/2009	39:21.5	151065
sawi	10/13/2009	6:39:22	151066
sawi	10/13/2009	41:21.5	151067
sawi	10/13/2009	42:28.5	151068
sawi	10/13/2009	44:31.5	151069
sawi	10/13/2009	6:45:37	151070
sawi	10/13/2009	47:21.5	151071
sawi	10/13/2009	48:35.5	151072
sawi	10/13/2009	50:36.5	151073
sawi	10/13/2009	52:01.5	151074
sawi	10/13/2009	6:54:10	151075
sawi	10/13/2009	55:18.5	151076
sawi	10/13/2009	6:55:19	151077
sawi	10/13/2009	6:56:51	151078
sawi	10/13/2009	58:04.5	151079
sawi	10/13/2009	59:59.5	151080
sawi	10/13/2009	7:00:00	151081
sawi	10/13/2009	01:29.5	151082
sawi	10/13/2009	7:01:30	151083
sawi	10/13/2009	7:03:11	151084
sawi	10/13/2009	04:17.5	151085
sawi	10/13/2009	05:55.5	151086
sawi	10/13/2009	07:14.5	151087
sawi	10/13/2009	09:12.5	151088
sawi	10/13/2009	7:10:45	151089
sawi	10/13/2009	12:46.5	151090
sawi	10/13/2009	7:14:20	151091
sawi	10/13/2009	15:53.5	151092
sawi	10/13/2009	7:16:56	151093
sawi	10/13/2009	18:34.5	151094
sawi	10/13/2009	7:19:43	151095
sawi	10/13/2009	21:18.5	151096
sawi	10/13/2009	7:22:16	151097
sawi	10/13/2009	22:16.5	151098
sawi	10/13/2009	23:44.5	151099
sawi	10/13/2009	25:09.5	151100
sawi	10/13/2009	7:27:33	151101
sawi	10/13/2009	7:28:58	151102
sawi	10/13/2009	28:58.5	151103
sawi	10/13/2009	7:31:12	151104
