id	date	time	events
secret	9/20/2003	5:00:00	168918
secret	10/31/2003	51:12.5	168919
secret	10/31/2003	20:00.5	168920
secret	10/31/2003	31:57.5	168921
secret	10/31/2003	18:36:21	168922
secret	10/31/2003	48:58.5	168923
secret	10/31/2003	20:48:19	168924
secret	11/1/2003	19:49:29	168925
secret	11/2/2003	02:41.5	168926
secret	11/2/2003	20:15:20	168927
secret	11/2/2003	20:25:24	168928
secret	11/2/2003	31:36.5	168929
secret	11/2/2003	34:55.5	168930
secret	11/2/2003	20:50:08	168931
secret	11/2/2003	52:11.5	168932
secret	11/2/2003	20:55:57	168933
secret	11/2/2003	20:58:54	168934
secret	11/2/2003	21:03:00	168935
secret	11/2/2003	07:56.5	168936
secret	11/2/2003	12:35.5	168937
secret	11/2/2003	18:34.5	168938
secret	11/2/2003	21:38:33	168939
secret	11/2/2003	21:45:49	168940
secret	11/2/2003	48:24.5	168941
secret	11/2/2003	50:05.5	168942
secret	11/2/2003	53:36.5	168943
secret	11/2/2003	56:07.5	168944
secret	11/2/2003	35:47.5	168945
secret	11/2/2003	18:33.5	168946
secret	11/2/2003	23:21:31	168947
secret	11/2/2003	23:24:27	168948
secret	11/2/2003	26:32.5	168949
secret	11/2/2003	23:30:07	168950
secret	11/2/2003	37:00.5	168951
secret	11/2/2003	48:44.5	168952
secret	11/3/2003	07:21.5	168953
secret	11/3/2003	0:19:22	168954
secret	11/3/2003	1:22:29	168955
secret	11/5/2003	44:07.5	168956
secret	11/6/2003	17:33.5	168957
secret	11/6/2003	19:13:26	168958
secret	11/6/2003	44:50.5	168959
secret	11/6/2003	20:03:26	168960
secret	11/6/2003	20:18:37	168961
secret	11/6/2003	24:42.5	168962
secret	11/6/2003	20:31:14	168963
secret	11/6/2003	35:51.5	168964
secret	11/6/2003	40:01.5	168965
secret	11/6/2003	20:43:44	168966
secret	11/6/2003	47:51.5	168967
secret	11/6/2003	52:37.5	168968
secret	11/6/2003	01:47.5	168969
secret	11/6/2003	21:09:32	168970
secret	11/6/2003	17:15.5	168971
secret	11/6/2003	21:24:08	168972
secret	11/6/2003	33:34.5	168973
secret	11/6/2003	42:46.5	168974
secret	11/6/2003	53:04.5	168975
secret	11/6/2003	02:21.5	168976
secret	11/6/2003	22:12:39	168977
secret	11/6/2003	23:10.5	168978
secret	11/6/2003	40:01.5	168979
secret	11/6/2003	22:50:59	168980
secret	11/6/2003	23:01:49	168981
secret	11/6/2003	23:08:33	168982
secret	11/6/2003	23:19:47	168983
secret	11/6/2003	29:03.5	168984
secret	11/6/2003	36:02.5	168985
secret	11/6/2003	23:40:13	168986
secret	11/6/2003	23:46:41	168987
secret	11/6/2003	52:40.5	168988
secret	11/7/2003	03:09.5	168989
secret	11/7/2003	0:20:04	168990
secret	11/7/2003	0:40:58	168991
secret	11/7/2003	05:08.5	168992
secret	11/8/2003	2:44:29	168993
secret	11/8/2003	45:42.5	168994
secret	11/8/2003	46:55.5	168995
secret	11/8/2003	48:11.5	168996
secret	11/8/2003	50:32.5	168997
