STATION,STATION_NAME,elev_m,lat_dd,lon_dd,date,MDPR,Source Flag,Time of Observation,DAPR,Source Flag,Time of Observation,PRCP,Measurement Flag,Source Flag,Time of Observation,TMAX,Quality Flag,Source Flag,Time of Observation,TMIN,Quality Flag,Source Flag,Time of Observation
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031101,-9999, ,9999,-9999, ,9999,25, ,0,1600,178, ,0,1600,6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031102,-9999, ,9999,-9999, ,9999,0, ,0,1600,156, ,0,1600,6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031103,-9999, ,9999,-9999, ,9999,64, ,0,1600,150, ,0,1600,44, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031104,-9999, ,9999,-9999, ,9999,0, ,0,1600,172, ,0,1600,6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031105,-9999, ,9999,-9999, ,9999,0,T,0,1600,144, ,0,1600,6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031106,-9999, ,9999,-9999, ,9999,0, ,0,1600,167, ,0,1600,6, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031107,-9999, ,9999,-9999, ,9999,84, ,0,1600,161, ,0,1600,83, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031108,-9999, ,9999,-9999, ,9999,81, ,0,1600,167, ,0,1600,122, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031109,-9999, ,9999,-9999, ,9999,320, ,0,1600,139, ,0,1600,111, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031110,-9999, ,9999,-9999, ,9999,0,T,0,1600,194, ,0,1600,78, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031111,-9999, ,9999,-9999, ,9999,0, ,0,1600,217, ,0,1600,39, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031112,-9999, ,9999,-9999, ,9999,0, ,0,1600,217, ,0,1600,39, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031113,-9999, ,9999,-9999, ,9999,0, ,0,1600,161,I,0,1600,44, ,0,1600
GHCND:USC00048351,SONOMA CA US,29.6,38.29944,-122.46222,20031114,-9999, ,9999,-9999, ,9999,25, ,0,1600,144, ,0,1600,106, ,0,1600
