Date,TemperatureHighF,TemperatureAvgF,TemperatureLowF,DewpointHighF,DewpointAvgF,DewpointLowF,HumidityHigh,HumidityAvg,HumidityLow,PressureMaxIn,PressureMinIn,WindSpeedMaxMPH,WindSpeedAvgMPH,GustSpeedMaxMPH,PrecipitationSumIn,stationid,lat_dd,lon_dd,elev_wund
2013-1-1,56.1,42.2,32.3,36.6,30.4,24.9,96,67,30,30.3,30.21,8,2,11,0,kcasanta225,38.462,-122.629,460
2013-1-2,56.1,39.6,27.6,36.9,30.8,25.2,92,73,44,30.26,30.15,6,1,7,0,kcasanta225,38.462,-122.629,460
2013-1-3,55.8,40.7,28.9,39.9,32.9,26.2,91,76,47,30.3,30.18,3,1,4,0,kcasanta225,38.462,-122.629,460
2013-1-4,58.6,42.8,32.4,41.5,35.5,30.1,94,77,50,30.31,30.19,3,1,4,0,kcasanta225,38.462,-122.629,460
2013-1-5,49.4,42.9,32.7,44.1,39.1,29.5,94,87,78,30.27,30.07,9,2,10,0.29,kcasanta225,38.462,-122.629,460
2013-1-6,53.9,45.4,38.5,44.3,41.1,36.7,95,85,66,30.21,30.08,7,1,9,0,kcasanta225,38.462,-122.629,460
2013-1-7,61.9,46.1,35.2,50.2,41,33.6,96,84,60,30.27,30.16,3,1,6,0,kcasanta225,38.462,-122.629,460
2013-1-15,35.7,34.3,33.1,31.6,30.6,29.7,88,86,84,30.45,30.44,3,1,4,0,kcasanta225,38.462,-122.629,460
2013-1-16,59.9,41.1,29.2,37.6,32.3,26.8,93,74,38,30.47,30.29,3,1,5,0,kcasanta225,38.462,-122.629,460
2013-1-17,63.4,42.9,29.3,40.8,33.8,27,95,73,37,30.3,30.17,2,1,4,0,kcasanta225,38.462,-122.629,460
2013-1-18,64.7,44.5,31.2,41.1,34.5,28.9,94,70,40,30.25,30.15,3,1,5,0,kcasanta225,38.462,-122.629,460
2013-1-19,67.9,45.7,31.3,40.7,31.1,26.2,85,60,22,30.27,30.17,8,1,10,0,kcasanta225,38.462,-122.629,460
2013-1-20,65.2,45.7,32.2,40.9,32.3,26.9,83,62,36,30.25,30.13,4,1,6,0,kcasanta225,38.462,-122.629,460
2013-1-21,64.2,45.7,30.8,39.4,33,26.3,85,63,38,30.19,30.1,5,1,7,0,kcasanta225,38.462,-122.629,460
2013-1-22,64.2,48.4,31.5,40.6,34.7,27.4,86,60,35,30.13,30,8,2,10,0,kcasanta225,38.462,-122.629,460
2013-1-23,54.2,49.3,46.7,48.6,42.6,35.7,96,79,56,30.1,29.97,7,2,10,0.41,kcasanta225,38.462,-122.629,460
2013-1-24,59.9,51,47.3,54.1,48.9,46.4,97,93,80,30.2,30.08,5,1,6,0,kcasanta225,38.462,-122.629,460
2013-1-25,62.2,53.7,47.1,54.3,50.3,46,97,89,71,30.21,30.05,3,1,4,0.01,kcasanta225,38.462,-122.629,460
2013-1-26,58.5,49.2,38.8,48.1,40.3,33.7,97,74,43,30.08,29.97,5,1,11,0,kcasanta225,38.462,-122.629,460
2013-1-27,56.6,43.3,33,37.1,33.4,30.3,95,71,38,30.2,30.07,3,1,6,0,kcasanta225,38.462,-122.629,460
2013-1-28,59.1,44.9,34.7,39.1,36,31.6,90,73,44,30.31,30.18,3,1,6,0,kcasanta225,38.462,-122.629,460
2013-1-29,63.7,48.5,36.6,41.7,38.2,33.4,88,70,40,30.37,30.28,4,2,7,0,kcasanta225,38.462,-122.629,460
2013-1-30,67.4,50.3,38.1,47.2,41,35.1,93,73,42,30.35,30.26,4,1,6,0,kcasanta225,38.462,-122.629,460
2013-1-31,67.1,49.7,37.8,47.1,41.4,34.5,92,75,45,30.31,30.19,3,1,5,0,kcasanta225,38.462,-122.629,460
2013-2-1,69.6,50.4,36.8,47.6,41.1,34.3,96,74,33,30.23,30.12,6,1,8,0,kcasanta225,38.462,-122.629,460
2013-2-2,59.2,46.5,39.4,49.1,42.7,37.3,96,87,69,30.32,30.22,3,1,5,0,kcasanta225,38.462,-122.629,460
2013-2-3,60.8,47.9,40.2,48.3,43.7,37.4,97,87,61,30.27,30.15,4,1,6,0.01,kcasanta225,38.462,-122.629,460
2013-2-4,56.8,44.4,34.8,47.9,41.4,33.8,97,90,69,30.19,30.08,3,1,5,0.01,kcasanta225,38.462,-122.629,460
2013-2-5,61.3,47.5,40.2,47.5,42.2,37,94,83,58,30.18,30.06,5,1,6,0,kcasanta225,38.462,-122.629,460
2013-2-6,59.3,44.8,33.6,43.4,37.6,31.1,93,78,46,30.22,30.11,5,2,8,0,kcasanta225,38.462,-122.629,460
2013-2-7,56.1,45.1,35.7,45.7,38.7,33.4,96,80,43,30.17,30,6,2,11,0.27,kcasanta225,38.462,-122.629,460
2013-2-8,58.7,44,33.1,40.6,34,27.6,96,71,33,30.03,29.95,4,1,7,0,kcasanta225,38.462,-122.629,460
2013-2-9,61.1,44.8,31.2,34.1,29.9,23.3,85,59,27,30.11,30.01,5,2,7,0,kcasanta225,38.462,-122.629,460
